stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,116.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,15.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,20.07,0,0,0,0,0,30.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.25,20.06,0,0,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.15,0,0,0,0,0,22.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.02,32.1,0,0,42.38,0,0,0,8.74,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.41,12.46,3.52,0,22.28,0,0,0,0,0,0,0,0.89,0,0,0,0,6.71,0,0,13.49,124.19,1.29,1.89,0,0,0,4.58,0,37.09,0,0.84,108.35,24.04,0,0,0,0,0
 24-34,0,0,0,0,14.92,0.61,0,24.82,0,0,0.67,5.56,0,0,0.71,8.75,0.85,0,0,0,28.45,0,0,16.18,185.82,4.59,1.81,0,0,0,20.29,0,0,0,1.74,17.95,32.06,0,0,0,0,0.81
 36-46,0,0,0,0,21.84,1.59,0,50.54,9.45,11.74,1.5,27.67,0,1.47,4.68,3.15,0,0.77,0,1.12,41.94,0,1.78,15.11,228.94,0.6,0,6.43,0,0,41.55,0,0,2.35,7.05,0,27.9,0,0,0,0,7.97
 48-58,0,0,0,0,17.61,0.41,0,49.98,8.21,2.49,0,69.45,0.38,0.39,3.11,3.43,7.68,0.45,0,6.07,90.62,0,0,16.15,178.96,10.38,0.52,4.35,0,0.46,46.64,0,0,1.28,0,0,29.6,0,0,0.41,0,11.77
 60-70,0,0,0,0,23.52,4.64,0,61.44,0.62,3.16,1.56,85.41,0,0,6.28,6.37,0,0,0,2.49,143.37,3.51,2.88,12,147.19,9.09,0,6.93,0,2.23,66.01,0,0,3.24,2.24,0,19.38,0,0,0,0,1.45
 72-82,0,0,0,0,34.17,32.73,0,123.74,1.49,3.48,5.9,97.07,0.86,1.08,3.04,12.34,0.5,0.89,0,1.94,106.14,0.98,1.12,14.85,99.14,0,0,4.4,0,3.01,68.89,0,0,0.57,0,0,16.5,0.5,2.93,1.94,1.69,23.93
 84-94,0,0,1.04,0,40.44,74.55,0,124.43,0,5.24,5.26,87.05,3.27,0.97,10.24,7.02,3.86,1.52,0,14.02,127.82,9.31,8.01,13.97,89.64,0.67,0,5.1,0,3.48,225.62,0,0,0.57,0.59,0,2.88,0,0,1.93,4.97,10.01
 96-106,0,0,0.87,0,58.56,58.06,0.6,144.6,3.07,3.43,2.64,114.14,6.06,0,5.38,17.77,0,0,2.39,5.51,172.01,4.29,4.11,10.25,70.07,1.64,3.16,14.49,0,8.13,167.98,0,0,2.8,0,0,12.38,0,6.52,0,1.16,0
108-118,0,0,0,0,110.13,21.94,4.68,206.57,11.44,14.31,0,82.77,6.16,1.35,9.63,30.01,0.63,0,7.81,17.68,134.51,12.4,3.78,13.37,110.4,0,0,4.05,0,8.07,227.78,0,0,0.51,2.6,0,4.73,0.51,2.27,1.43,0.63,13.7
120,1.12,0,10.3,0,150.02,30.02,1.46,328.76,3.05,11.27,1.67,201.29,11.7,0,20.03,11.86,3.01,1.48,9.87,3.06,143.64,8.24,2.61,26.08,183.32,4.5,0,11.29,0,10.01,190.53,1.53,0,21.37,1.69,0,5.31,0,1.54,1.25,6.92,6.28
