stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,xanthophores
  3-4,17.22,1240.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.53,0,0,0,0,0
  5-6,23.82,568.63,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.84,0,0,0,0,0
  7-9,57.5,0,3.31,0,0,11.95,0,0,11.5,0,0,0,0,0,0,0,0,57.01,0,0,0,22.24,0,0,0,0,0,0
 10-12,0,5.74,15.55,0,0,4.51,0,0,14,0,0,0,0,0,0,0,0,31.3,5.14,0,0,5.55,3.81,9.99,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0.82,0,0,0,0,55.49,0,0.9,2.69,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0.61,0,0.75,38.24,0,0,0,0,91.61,0,0,0,0,0
 36-46,0,0,0,0,0,2.89,0,0,0,0,3.61,0,1.58,0.76,1.17,0,0,23.53,0,0,0,0,69.51,0,0,0,0,0
 48-58,0,0,0,0.91,0,3.86,4.64,0,0,0,3.89,0,0,5.24,3.37,0,0,20.96,0.37,0,0,0,33.42,0,0,2.66,0,2.94
 60-70,0,0,0,6.39,0,11.25,0.9,2.99,0,3.24,0,0,0,35.46,5.03,0,0,31.58,0,0,0,0,40.54,0,0,7.81,0,0
 72-82,0,0,0,2.3,0,18.66,5.2,22.14,0,0,0,0,0,70.13,8.26,0,0,14.76,0.92,0,0,0,12.91,0,0,5.95,0.51,0
 84-94,0,0,0,0.59,0,11.65,1.72,38.91,0,4.24,2.73,2.64,0,45.7,15.24,1.13,0,5.11,1.46,0,0,0,59.44,0,0,2.43,1.03,0
 96-106,0,0,0,2.39,3.76,1.45,0,67.23,0,0.57,1,0,0,22.9,10.11,0,0,14.08,0,0.73,0.65,0,28.23,0,0,5.05,0,0
108-118,0,0,0,6.66,6.92,7.29,2.53,66.53,0,0.48,0.8,6.77,0,19.45,24.07,0,0,9.97,0,0,1.79,0,35.85,0,0,0,0.5,0
120,0,0,0,7.24,0,1.39,1.41,56.63,0,2.66,0,0,0,24.37,18.63,0,0,24.3,0,2.28,2,0,20.77,0,0,0,0,0
