stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.12,20.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.21,0,0,0,13.81,0,0,0,0,0,10.66,0,0,0,0,0,0,0,0,0,0,0,113.95,0,0,0,17.88,0,6.94,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.97,0,27.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.87,4.23,0,0,32.93,0,0,3.26,0,0,0,0,0,0,0,0
 14-21,0,0,0.87,3.32,0,0,5.15,0,0,0,0,0,0,0,0.85,0,0,0,0,1.13,0.9,0,0,0.98,98.71,16.88,0,0,0,0,0,0,0,3.98,267.16,0,0,0,0,0
 24-34,0,0,0,3.1,0.84,0,7.84,0,0,0,1.77,0,0,0,0,0,0,0,0,0.69,3.6,0,0,4.03,1654.87,1.39,0,2.5,0,2.22,0,0,0,2.21,1786.59,0,0,7.86,0,0
 36-46,0,0,0,22.25,0,0,37.59,0,0,1.26,4.6,0,0,0.56,0,0,0,0,0,0,25.16,0,0,4.56,3558.75,0,2.12,0,0,33.16,0,0.59,0,0,3035.89,0,0,2.82,0,0
 48-58,0,0,0,136.42,0.48,0,195.67,2,0,4.49,28.49,2.21,0,0,0,4.73,14.17,1.21,1.78,0,75.63,0,0.99,14.5,6307.51,9.24,2,2.44,0,15.03,0,0,0,0,3509.14,0,0,7.48,0,28.63
 60-70,0,0,0,11.61,0,0,240.21,0,0,0.67,54.33,0,0,1.7,7.38,0,0,0,0,6.42,82.09,2.49,13.62,6.34,7153.33,0,3.16,0,0,19.98,0,0,0.64,0,4733.5,0,1.22,5,0,9.12
 72-82,0,0,0,26.09,3.95,0,248.33,0,0,1.37,24.91,0.66,0,0,1.91,0.53,0,0,0,0,87.4,0,0,2.52,6483.94,0,5.87,0,1.13,12.6,0,0.61,1.69,0,2642.43,2.43,0,9.55,0.58,7.5
 84-94,0,0,0,102.39,10.89,0,173.36,3.35,0.58,0.86,22.31,0.89,0,0,0,0,6.36,0,0,0,46.08,0,9.62,2.98,4158.93,0,0,3.67,0,12.87,0,0,2.53,0,1803.76,0,4.91,3.54,0,13.85
 96-106,0,0,0,37.3,15.89,0.59,217.64,0,2.21,0.59,24.13,0.6,0,0,0.65,2.85,0,0,0,0,49.88,0,0,7.27,3047.89,0,0.84,2.05,0,1.62,0,0,0,0,941.5,0,2.41,4.67,1.85,1.91
108-118,0,0,0,20.51,4.08,0,150.76,0,0,0,9.02,3.67,0,0.8,1.73,0.45,0.43,2.32,3.57,0,35.99,0,2.05,3.78,2857.93,0,0,0,0,8.84,0,0,0,0,383.34,0,0,2.89,0,0
120,0,0,0,15.67,6,0,108.6,0,0,0,32.63,2.27,0,7.39,5.13,0,0,0,25.23,0,105.06,0,0,4.18,3812.59,0,12.64,66.18,0,1.07,0,0,0,0,281.9,0,8.16,0,0,0
