stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,106.41,1711.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85,0,0,0,0,0,0,0,0,0,0
  5-6,108.2,3262.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.12,21.59,0,0,29.56,0,70.77,0,0,0,0,0,0,0,0,0,0
  7-9,58.23,70.54,0,48.13,0,0,199.18,0,0,0,0,0,26.24,0,0,0,0,0,0,0,0,0,0,0,1579.12,48.92,0,0,493.69,0,0,4.77,0,0,0,0,0,0,0,0,0
 10-12,0,36.59,0,47.59,0,0,155.23,0,0,0,0,0,10.4,0,0,0,0,0,0,0,0,0,0,0,1303.67,63.08,0,0,311.1,0,0,10.94,0,77.31,0,15.25,0,0,0,0,0
 14-21,0,0,1.24,3.71,54.86,3.78,20.55,0,0,0,7.51,0,0,0,0,0,0,0,0,3.57,14.28,0,0,25.57,330.31,5.44,0.98,2.81,6.91,0,2.85,0,40.89,3.08,1.82,18.08,108.42,0,2.15,0,0
 24-34,0,0,0,1.91,8.23,2.55,44.55,0,1.54,0,5.18,0,0,1.21,0,0,11.28,0.71,0.65,1.86,30.81,1.33,0,22.25,453.66,3.3,2.91,7.75,0,0,13.5,0,0,0,0,6.65,73.89,0,5.95,0,5.29
 36-46,0,0,0,0,22.11,0,49.26,0,1.68,0.96,12.64,0.72,0,0,0,0,0,0,0,0,28.01,0,0,7.52,249.57,0.56,2.34,1.65,0,7.92,3.74,0.81,0,1.31,0,0,48.87,0,3.89,0,0
 48-58,0,0,0,0,9.36,0,47.45,0,3.7,0.45,14.7,0,0,2.08,0,0,0.38,0.51,0,0,23.55,0,1.33,3.78,117.9,0,0,0.61,0,0,2.92,0,0,0,0,0,32.18,0,2.74,0,0
 60-70,0,0,0,0,2.77,0,49.96,0,2.7,8.36,16.74,1.98,0,0.76,0,0,0,0,0,0,21.4,0,1.57,1.69,100.24,0,0,0,0,0.71,9.59,0,0,0,0,0,9.28,0.63,4.62,0,6.96
 72-82,0,0,0,0,1.01,0,27.67,0,1.47,0,24.86,2.25,0,0.58,0.55,0,0,0,0,0,37.71,0,1.54,1.1,68.87,0,3.1,0.81,0,0,3.91,0,0,0,3.03,0,13.18,0,1.71,1.77,2.08
 84-94,0,0,0,0,5.14,0,22.52,0.79,0.75,0,11.9,2.04,0,1.66,0.67,0,0,0,0,0,26.6,2.78,2.34,4.23,59.87,0,2.62,0,0,0,6.11,0,0,0,0,0,0,0.84,0.62,0,0
 96-106,0,0,1.15,0,2.55,0,6.1,0,1.04,0,15.77,1.27,0,0,0,0.56,0,0,0,0,14.59,0,1.53,3.87,14.37,0,0.68,3.59,0,0,5.57,2.06,0,0,0,0,9.9,1.76,7.84,3.61,1.24
108-118,0,0,0,0,6.16,0,16.73,0,0,0,24.71,1.11,0,0,0.85,0,0,0,0,0.58,24.05,0,0.69,2.67,36.44,0,1.42,1.3,0,4.36,5.03,0,0,2.22,0,0,0,0,7.46,0,0
120,0,0,0,0,4.42,1.99,7.42,0,0,0,21.86,4.01,0,0,1.69,0,0,3.84,0,0,7.84,0,0,2,74.67,0,0,16.04,0,0,0,0,0,0,0,0,0,0,2.55,0,0
