stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,27.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.52,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0.91,0,0,0,0
 24-34,0,0,0,0,0.91,0,0,0,0,0,1.86,0,0.9,5.73,0,2.26,0,0,11.24,0.61,1.78,0,0
 36-46,0,0,0,0,1.46,0,0,0,0,0,1.36,0,2.51,6.29,0,0,0,0,3.38,0,0,0,0
 48-58,0,2.2,0,0.51,1.12,0,0,0.37,0,0,0.53,0,0.61,1.04,0,0.56,0,0,0,0,0,0,0
 60-70,0,0.58,0,0,1.04,0,0,0,0,0,2.14,0,0,2.05,6.46,0,0,0,2.65,3.53,0,0,0
 72-82,0,0.71,8.76,10.25,0,1.27,0,0,0,0,2.15,0,0,6.29,0,4.29,0,0,0.96,0.51,6.95,0,0
 84-94,0,1.93,10.17,1.91,0.55,0,0,0,0,0,6.3,0,0,13.76,0,0,0,0,5.83,0.61,0,0,0
 96-106,0,4.66,58.31,23.85,1.59,2.11,0,0,0,0,4.67,0,0,30.71,0,6.73,0.66,0,5.74,0,0,0,0.89
108-118,0,5.65,22.22,12.32,2.36,3.32,0,0,0,4.76,10.64,2.77,0,19.84,0,3.09,4.04,0,4.68,7.28,3.24,1.32,0
120,0,22.54,25.19,38.64,1.09,0,1.33,0,0,0,5.35,0,0,24.24,0,3.57,0,0,0,1.99,14.77,0,0
