stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,175.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.79,0,0,0,0,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,66.27,0,0,0,22.02,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.26,0,0,0,16.43,0,4.37,0,0,0,0,0,0,0,0
 14-21,0,0,0.93,4.68,0.92,0,1.65,0,0,0.98,0,0,0,0,0,0,0,0,0,0.87,0.95,0,0,19.86,0.98,0,0,0.84,0,1.1,0,0,13.62,0,0,3.4,0,0
 24-34,0,1.41,1.2,2.92,0,0,11.5,0,0,2.74,1.25,0,2.35,0.61,3.65,0,0,0,0,12.27,0,0,10.75,134.76,0,2.55,0.82,0,9.48,0,1.17,0,46.58,0,0,9.54,0,0.63
 36-46,0,0,0,3.21,1.22,0,20.42,0,0,13.85,0.67,0,0,3.77,0,0,0,0,0.61,5.02,1.89,0,4.09,113.72,0,7,0,0,41.9,0,1.48,0,55.44,0,0,16.52,0,0
 48-58,0,0,0,1.39,0,0,19.41,1.4,0.98,7.67,0,0,0,8.16,0.46,0,0,1.49,0,9.92,1.09,0,1.09,62.67,5.32,2.27,2.1,0,7.11,0,2.86,0.4,13.83,0,0,3.8,0,0
 60-70,0,0,0,5.28,0,0,40.31,0,1.18,6.49,5.73,0,0,4.21,0,1.57,0,1.78,0,4.94,0,0,3.82,71.25,0,1.81,6.27,0,4.13,0,0,0,5.55,1.72,0.65,3.68,0.87,0
 72-82,0,0.9,0,0,6.4,0,44.55,0,0,7.76,2.6,0,0,2.1,0.66,0,0.91,1.31,0,18.91,1.12,0,0,47.75,0,3.11,5,0,1.17,0,2.56,0,4.33,0.69,0,1.13,0.72,0
 84-94,0,1.79,0,2.08,0,2.35,28.93,0,0,8.11,5.87,0,0,1.66,2.88,0,0,0,0,9.27,2.15,3.75,0,43.44,0,7.07,1.46,0,5.58,0,3.21,0,0,4.06,0,0,0,0
 96-106,0,0,0,2.35,0,1.85,7.44,0,0,4.6,10.72,0,0,0.56,0,1.18,1.94,0,0,4.53,0,0,0,63.63,0,10.79,0.65,0,1.41,0,1.84,0,0,0.58,0,2.72,4.81,0
108-118,0,0,0,1.46,0.69,2.5,24.96,0,0.87,1.7,4.5,0,0,0.66,2.09,0,0.65,0.46,0.59,12.23,0.44,0,0.63,59.1,0,2.68,2.49,0,0.47,0,0,0,0.55,0.66,1.88,0,0,0
120,0,3.64,0,2.57,0,0,27.76,0,0,5.58,6.22,0,0,0,2.02,0,0,0,0,7.12,0,0,0,16.92,0,8.97,0,0,0,0,0,0,0,9.93,0,0,0,2.08
