stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.43,0,0,0,0,0,0,0,0,0,0,5.61,0,0,0,9.18,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,16.56,4.62,0,1.73,0,0,0,0,4.52,0,0,0,0,13.97,0,2.51,0,0,1.64,37.11,0.95,0,0,0,0,0,3.56,0.9,0,8.75,8.83,0,2.11,0,0
 24-34,1.47,2.27,0.68,0,2.74,0,0,0,0,0,0,0,0.73,0,12.32,0,1.87,0,0,0.71,35.91,0,0,0,0,0,0,0,0.63,0.66,1.28,11.16,0,2.33,0,0.77
 36-46,0,0,0,0,5.1,5.08,0,9.13,0,0,0,0,0.61,0,0,0.85,12.11,0,0,3.88,55.48,0,0,0.74,0,0,1.99,0,0,0,0,26.49,0,3.03,0,4.9
 48-58,0,0,0,0,4,0,3.51,14.64,0,0,0.65,0,0,0,0,0,3.46,0,0,1.29,43.98,0,0,0,0,0,0,0,0,0,0,4.69,0,1.7,0,0.45
 60-70,0.62,0,0,0,14.02,0,0.86,20.9,0.62,0,0,0,0,0,4.11,0,3.8,0,1.3,0.87,49.78,0,0,0,0,0,0,0,0,0,0,5.98,0,0,0,3.96
 72-82,0,1.67,0,0,33.03,0,0,16.25,0.76,0,0,0.65,1.75,0,0.57,0,7.48,0,0,0.53,61.7,0,0,0,0,0,0,0,0,0,0,9.66,0.93,4.36,0,4.7
 84-94,0.84,1.98,0,0,37.61,0,0,8.49,5.41,0,0.79,0,2.5,0,5.59,0,5.7,2.54,0,1.1,29.01,0,0.95,0,0,0,0,0,0.64,0,0,12.78,0,0.62,0,0
 96-106,1.04,1.49,0,0,29.04,0,0,19.07,1.94,0,0,0,10.25,0.86,8.47,2.94,8.47,0.78,0,0,30.45,0,0,0,0,0.99,1.41,0,0,0,0,3.8,0,0,2.54,0
108-118,1.25,1.66,0,0.55,10.81,0,0.74,17.57,2.81,0,0,0,2.81,0,11.49,0,10.14,0,0,0.72,61.45,0,0.49,1.07,0,0,3.64,0,0,0,0,0.7,0,0,0,4.35
120,7.82,0,0,0,9.49,0,0,40.99,13.35,0,0,0,0,0,23.94,0,7.36,1.56,6.42,0,42.63,0,0,0,0,0,5.32,0,5.03,0,0,0,0,0,0,0
