stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,14.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,19.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.98,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0,0,0.88,0.8,1.88,0,0,0,0,0
 24-34,0,0.6,4.19,0,3.59,2.13,1.77,1.02,4.77,0,0,5.77,0,0,0,0.8,0,10.09,47.3,0.61,1.18,0,0,0.99,0,0,3.87,10.56,1.36,0,0,0,0
 36-46,0,0,3.17,0.58,2.82,13.07,0,3,0,0,0,0.88,0,0,0,7.78,0,11.93,44.83,0,0,0,0,0,1.97,0,19.8,2.96,2.41,0,0,0,0
 48-58,0,0,0,0,9.93,10.65,0,2.64,2.82,0,0,0,0,0,0,12.42,0,2.39,100.15,0,0,0,0,0,0,0,4.06,0,7.73,0,0,0,2.57
 60-70,0,0,0,0,5.02,8.26,0,1.98,0,5.83,0,1.72,0,0,4.76,23.99,0,8.89,166.35,4.42,0,0,0,0,4.96,0,6.12,0,2.46,0,0,0,0
 72-82,0,0,0,0,12.21,3.56,0,0,6.36,0,0,0,0,0,1.95,24.3,0,7.42,131.8,0,0,0.84,0,0,0,0,2.33,0,3.96,0,0,0.81,0
 84-94,0,0,2.11,0,4.03,12.13,0.56,1.96,0,0,0,0,0,0,0,26.37,1.68,0.77,53.83,0.61,0,3.44,0,0,0,0,0.61,0,0.64,0,0,0.62,0
 96-106,0,0,6.23,0,3.94,14.94,0,0.86,0,0.61,0,0.62,0,0,0,50.54,0,1.1,74.21,0,0,2.15,10.66,4.36,2.11,0,2.56,0,0.86,0.94,0.73,0,0
108-118,0,0,0,3.31,13.06,10.08,0,0.45,3.94,0,0,2.18,3.57,0.7,0.47,23.83,0,5.2,56.42,0,0,2.14,0,0,1.09,0,4.15,0,0,1.11,0,0,0
120,0,0,1.41,1.96,1.08,17.76,0,0,1.21,0,0,0,0,0,0,31.47,1.38,3.24,40.44,0,0,0,0,0,0,0,1.63,0,0,3.14,0,0,0
