stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,35.89,591.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0,0
  5-6,8.48,416.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.96,0,0,0,17.88,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,31.48,0,6.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.24,3.59,0,0,245.71,0,0,4.81,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,4.52,0,0,0,0,0,0,0,0,13.67,0,0,0,0,0,0,0,0,0,88.13,0,0,0,25.46,0,0,0,0,7.88,0,0,0,0,0,0,0
 14-21,0,0,0,0,5.75,0,0,0.9,6.33,0,0,0,4.24,0,0,0,0,0,0,1.07,0,1.7,11.95,0,0,0,0.81,0,0,0.91,8.6,0,11.1,17.49,0,0,0,0,0
 24-34,0,0,1.43,0,10.55,0,0,2.31,1.92,0,0,0,0,2,0,0,0,0,0,6.15,0,7.28,134.02,0,1.41,0,0,0,0,0,0,0,5.72,69.04,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,4.49,0.57,0.9,0,0,0,0,0,0,0,0,0,9.38,0.57,5.3,332.19,0,0.83,0,0,0,0,0,0,0,0,88.87,0,0,0,0,0
 48-58,0,0,0.46,0,16.32,0,0,32.16,0,3.29,5.2,0,0,1.33,0,0,0,0,0,10.32,1.24,2.82,407.51,0,1.77,0.4,0,0,2.19,0,0,0,0,86.42,0,0,1.89,0,0
 60-70,0,0,0,0,4.38,0,0,199.84,0,1.85,7.99,0,0,0,0,0,0,0,0,36.01,0,0,611.5,0,2.15,0.62,0,0,0,0,0,0,0,99.05,0,2.6,0,0.89,0
 72-82,0,0,0.5,0,3,0,1.16,564.17,5.77,3.07,28.48,0.63,0,0.66,0.86,0,0,0,0,64.83,2.13,1.44,933.23,0,0,0.52,0,3.33,4.41,0,0,0,0,85.79,0,1.53,3.8,4.54,8.18
 84-94,0,0,0,0,1.83,0,0,299.46,0,1.52,26.71,0,0,0,1.07,0.61,1.42,0,3.58,42.49,4.06,2.59,639.88,0,0.63,4.43,0,0,4.47,0,0,0,0,67.3,0,0.7,1.47,3.12,0
 96-106,0,0,0,0,1.45,1.52,0,468.13,0,0,42.06,0,0,3.89,1.13,1.31,0,0.58,1.84,61.7,1.42,1.27,685.1,0,7.58,2.2,0,4.28,5.89,0,0,0,0,43.97,0.61,8.1,0,10.3,0
108-118,0,0,0,4.44,5.19,6.73,0,711.97,0,0,31.95,0,0,0.69,0.56,0,0.64,2.24,0,72.45,0,1.62,790.57,0,2.38,4.64,0,0,0,0,0,0,0,42.21,0,11.28,7.96,3.73,1.55
120,0,0,0,0,14.77,0,0,374.45,0,0,23.07,0,0,0,2.16,0,0,0,0,43.54,0,0,746.67,0,4.56,0,0,3.68,0,0,0,0,0,57.58,1.37,1.52,0,1.99,0
