stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,18.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.29,4.02,0,0,0,0,0,0,0,0,0,0,0,0,1.84,0,25.55,0,0,5.96,7.39,6.65,0,0,0,0,0,0.81,0,0,0.88,0,0,0,1.18,0,0
 24-34,0,0,0,0.76,28.67,0,0.8,0,0.6,0,0,0,3.77,0,0,0,0,0.73,0.9,211.27,0,2.42,48.81,34.22,16.07,0,0,0,3.13,0,0,1.64,0,0.75,13.28,0,0,7.93,0,0
 36-46,0,0,0,0,48.9,2.92,6.63,0,1.95,6.86,0.97,0,10.18,47.11,0,0,0,0,0,529.44,0,13.87,127.62,35.9,18.51,0.56,0,0,3.47,13.88,0,2.25,0,0,32.92,0,2.08,0.64,1.55,0
 48-58,2.3,0,0,1.72,114.6,0,22.82,0,2.57,19.79,4.47,0,7.53,0,0,0.39,1.42,0,1.12,1220.85,0,47.21,160.9,67.66,54.56,0,4.33,0,5.74,1.17,0,0,0,0,13.98,0,7.67,0.8,2.84,0
 60-70,0,0,0,0.85,103.8,0.69,34.47,3.26,2.63,48.95,10.62,0,2.6,0,0,0,0,1.2,0,2407.94,2.95,78.75,179.87,97.41,51.61,0.71,12.97,0,24.81,8.9,0,3.48,0,0,5.3,0,52.07,0,18.36,5.35
 72-82,0,0,0,1.38,120.44,0.6,121.15,2.4,8.1,101.78,21.77,0,4.93,0.71,2.17,0.57,1.36,0,0,4070.86,1.29,127.63,226.47,158.25,15.46,2.32,10.39,0,42.75,0.76,0,3.26,1.81,0,6.71,2.47,145.95,0,87.93,0
 84-94,0,0,0,0,238.25,3.31,156.06,1.9,3.93,74.99,18.84,0,19.58,0.56,2.73,2.73,0.73,0,0,3658.69,2.12,134.88,171.33,105.22,35.88,0.61,10.9,0,74.23,0.66,0,9.35,0,0,15.24,2.89,129.02,0,84.49,0
 96-106,0,0,0,1.06,280.86,16,138.67,1.64,7.93,117.83,26,2.17,30.25,7.47,0,3.32,1.17,2.16,2.25,3920.42,12.52,121.68,188.09,207.83,23.6,3.64,35.43,0,103.73,19.74,0,4.46,0,0,7.64,0,157.5,1.65,147.61,13.71
108-118,3.95,0,0,1.96,226.89,0,67.14,0,12.17,65.66,15.98,0.63,7.76,1.83,0,4.51,0,2.53,0.52,4031.89,1.24,132.25,180.99,228.52,18.49,5.22,21.17,0,116.35,5.73,0,9.83,0,0,5.58,1.01,118.53,0,93.53,0
120,0,0,3.29,0,235.56,10.6,53.36,0,9.86,57.81,20.55,0,18.69,1.43,0,8.53,4.05,28.84,0,3111.67,0,131.26,158.91,207.85,29.18,4.25,22,0,22.94,2.1,0,0,0,0,4.78,1.81,98.39,0,164.69,8.94
