stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,62.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,12.18,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0.81,0,0,0,1.37,0,1.89,0,24.81,0.81,0,1.46,2.11,0,0,0,0,0,0
 24-34,0,0,3.04,32.93,0,0,0.82,0,0,0,0,3.22,0,0,0,3.29,0,0,11.8,0,0,1.61,0,1.08,50.47,0,3.95,0,353.69,0,1.06,0,0.9,3.4,0,0,0,0,0
 36-46,0,0,0,8.72,0,0,3.86,0,9.2,0,1.42,8.3,0,0,1.01,0.93,0,1.17,14.06,0,1.79,15.75,0,0,19.37,0.72,0,0,509.85,0,2.03,0,0,1.95,0,0,0.88,0,8.43
 48-58,0,0,0.45,7.58,0,0,7.69,0,1.57,0,3.87,51.65,0,0,0,1.43,0,2.12,45.81,1.21,1.78,3.69,0,2.71,43.8,0.42,2.52,0,389.46,0,0.56,0,0,3.86,0,0,0,0,0.67
 60-70,0,0,0,35.45,0,0,21.4,0,1.98,0,1.33,122.64,0,1.38,0,0.56,0,1.64,54.47,6.76,11.16,2.85,0,0,17.75,1.19,1.54,0,242.77,0,2.97,0,0,10.31,0,0,8.56,0,0
 72-82,0,7.15,1.24,42.52,5.97,1.16,87.32,0,0,0,13.71,823.34,0.49,0,9.43,4.23,0.93,1.41,229.94,0,43.26,1.92,3.44,0.8,241.31,4.73,5.16,0,115.88,0,14.41,4.35,0,5.48,4.01,1.37,44.13,0,6.61
 84-94,0,3.39,4.03,89.47,17.69,0,99.09,1,0.68,1.36,7.7,1716.69,0,1.44,1.53,7.6,0,11.33,875.29,0,34.99,1.51,1.31,4.6,163.2,7.89,4.35,1.75,339.83,0,39.16,0,0,2.94,13.19,0,43.4,0,3.71
 96-106,0,31.17,11.02,143.87,25.88,8.34,264.8,4.08,1.9,8.92,34.99,3044.82,0,4.19,3.38,11.71,0.89,7.07,1349.77,0.65,86.05,2.64,1.82,7.52,939.93,35.69,7.16,3.08,306.84,0,52.45,0.59,0,9.68,17.03,1.3,85.69,13.86,18.72
108-118,0,4.93,10.53,193.07,15.41,4.41,363.32,0.73,8.82,1.43,35.44,3235.71,0,5.22,5.54,13.88,9.06,15.89,2568.01,7.57,69.12,3.93,3.11,10.75,817.36,11.55,5.1,7.04,213.57,0,93.04,0,0,3.07,16.45,0,61.99,3.93,8.6
120,0,1.37,6,105.97,15.07,0,97.34,0,0,0,36.8,1337.39,0,0,4.18,4.61,0,11.58,1047.07,0,41.05,1.1,0,6.17,668.51,7.81,5.96,8.93,127.59,0,48.2,1.21,0,0,5.21,0,76.55,0,0
