stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.18,542.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.08,169.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.85,0,0,0,0,0,0,0,0,0,0
  7-9,13.51,9.03,0,12.16,0,0,13.68,0,0,0,0,0,18.33,0,0,0,0,0,0,0,0,0,0,240.98,11.87,0,0,35.44,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.48,0,12.23,0,0,23.37,0,0,0,0,0,9.13,0,0,0,0,0,0,0,0,0,0,224.96,39.9,0,0,108.98,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.94,8.41,0,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54,0,9.59,51.07,5.49,0,0,1.53,0,0,7.05,0,0,14.62,15.62,0,0,1.91,0,0
 24-34,0,0,0,1.36,3.95,0,10.77,0,0,0,5.69,0,0,2.99,0,0,0,0,0,0,16.45,0,2.53,131.91,1.87,2.73,0,0,0,4.88,0,0,0,3.35,31.76,0,0,1.19,0,0
 36-46,0,0,0,0,13.69,0,28.81,0,0,0,2.23,0,0,0,0,7.87,0,0,0,0,10.49,0,2.31,154.92,0.66,1.95,5.82,0,0,0,0,0,4.33,0,35.01,0,0,2.73,0,0
 48-58,0,0,0,0,10.23,0,36.65,0,0,0,8.76,0,0,0,0.85,0,0,0,0,0.4,19.3,0,3.39,140.74,0,0.39,0.48,0,0,1.87,0,0,0,0,28.74,0,0,6.77,0,0
 60-70,0,0,0,0,0.88,0,54.71,0,0,0.86,8.58,0,0,0,0,0,0,0.88,0,0,11.66,0,0,84.93,0,0,0.61,0,0,0.58,0,0,2.97,0,37.35,0,0,2.66,0,0
 72-82,0,0,1.32,0,3.02,2.24,72.64,0,0,0.94,18.02,0,0,0,1.58,0,0,0,0.49,0,33.92,2.15,2.16,186.13,0,2.52,0,0,0,2.54,0,0,0,0,38.79,0,0,4.12,0.71,0
 84-94,0,0,0,0,1.21,4.62,73.76,0,0,0,6.66,3.13,0,0,0.83,0.61,0,0,0,0,33.66,10.95,1.16,164.66,0,0,3.85,0,0.6,13.02,0,0,0,0,7.25,0.57,0,9.02,2.11,0.76
 96-106,0,0,0,0,2.3,0,80.13,0,0.56,2.11,19.31,0,0,0,2.59,1.77,0.64,0,2.37,0,26.81,3.45,2.9,139.2,0,1.48,1.43,0,0,5.93,0,0.89,0,0,3.65,0,3.66,1.03,1.53,1.41
108-118,0,0,0.79,0,5.19,0,62.94,0.54,2.77,1.27,18.3,0.45,0,1.65,1.98,0.7,0.8,1.8,0,0,35.17,1.27,0.57,150.35,0.67,0,0.58,0,0,7.54,0,0,0,0,6.5,0,1.04,1.61,0,1.27
120,0,0,0,0,10.33,2.17,33.49,0,0,3.89,32.61,15.8,0,0,3.52,1.28,0,0,0,0,27.59,8.9,3.57,190.82,5.15,0,0,0,0,16.24,0,0,0,0,8.67,0,0,11.6,0,0
