stage,axial,blastomeres,endoderm,epidermis,eye,immune,melanocytes,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord,vasculature
  3-4,0,22.63,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.49,14.38,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,4.33,0,0
 14-21,0,0,0,1.81,0,0,0,0,0,1.29,0.87,0,1.04,0
 24-34,0,0,0,0,0,0,0,0,0.64,5.21,0,0,0,0.88
 36-46,0,0,0,0,3.81,0,0,0.59,0,3.84,0,0,4.37,0
 48-58,0,0,0,0,0.8,0,0,3.15,0,9.67,0,0,8.93,0
 60-70,0,0,0,0,0,0,0,0,0,3.83,0,0,0,0
 72-82,0,0,0,0,0.7,0,0,1.9,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,4.69,0,0,0,0
108-118,0,0,0,0,0,1.11,0,0,0,1.41,0,0,0,0
120,0,0,0,0,0,0,11.42,0,0,0,0,0,0,0
