stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,67.89,841.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.15,0,0,0,0,0,0,0,0,0
  5-6,10.19,771.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79,0,0,0,0,0,14.25,0,0,0,0,0,0,0,0,0
  7-9,0,9.6,0,11.07,0,0,0,74.6,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,395.96,19.43,0,0,176.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.68,0,73.86,0,0,0,55.52,0,0,0,0,0,27.14,0,0,0,0,0,0,0,0,0,0,0,571.89,21.94,0,0,183.9,0,0,0,15.66,0,0,0,0,0,0,0
 14-21,0,0,0,4.31,26.21,0.81,0,11.95,0,0,0,2.62,0.99,5.2,0,0,1.15,0,0,0,0,12.21,0,0,12.81,262.84,1.23,3.78,8.9,8.17,0,4.36,37.06,0,24.88,101.21,0,0,0,0,0
 24-34,0,0,0.84,10.68,23.41,0.62,0,75.19,0,0.68,0,8.12,5.27,0,8.93,0,0,0,0,0,0,77.38,0,0,18.55,1332.75,0.62,12.53,13.08,1,0,4.06,1.58,0,4.86,249.4,0,0,1.73,0,0
 36-46,0,0,0,0.84,15.73,1.87,0,141.28,0,0,1.32,14.56,1.34,0,0,0,0,0.65,0,0.93,10.05,69.47,0,1.7,22.33,2847.32,0,22.87,1.41,0,0,9.52,0,0,0,415.93,0,0,1.49,0,0
 48-58,0.39,0,0,0,12.63,0,0,600.48,1.65,0.37,2.92,80.45,1.24,0,0,1.24,7.24,0,1.82,5.43,7.42,65.08,0,4.96,17.05,4613.45,6.92,17.48,1.18,0,0,7.5,0,0.43,0,571.25,0,0,10.25,0,16.07
 60-70,0,0,0,0,24.43,5.49,0,548.53,0,7.72,1.88,47.19,0.64,0,0,0,0.93,0,1,0,0,43.01,1.83,0,3.7,3982.18,0,8.04,3.69,0,3.93,0.78,0,0,0,426.31,0,0.71,0.61,0,5.06
 72-82,0,0,1.85,0,12.51,7.12,0,490.27,0,0,8.75,41.22,0.71,0,0,6.68,6.41,0.54,0,0,0.85,46.59,0,1.53,11.64,2560.23,0,4.81,5.47,0,0,0,0,0,0,273.76,0.74,2.23,4.7,0,12.37
 84-94,0,0,1.67,0,11.24,4.06,0.92,354.85,0,0.62,1.58,29.62,1.48,0,0,5.32,2.84,2.02,2.57,0,0,40.3,0,2.57,15.23,1632.4,0,0.83,1.29,0,0,1.48,0,2.09,0,168.37,1.53,0,7.96,0.63,0.88
 96-106,0,0,2.22,0,16.11,5.48,0.66,243.32,0,0.82,3.82,21.38,1.3,0,0,1.84,4.65,0,1.07,0,0,30.73,0,0.59,8.39,1238.71,0,2.06,2.4,0,0,6.83,0,0,0,75.5,0,0,0.62,1.25,3.1
108-118,0,0,0,0,22.85,7.48,14.73,301.26,0,0,3.3,17.95,3.97,0,0,2.15,2.42,2.66,0,0.94,0.54,19.7,0,5.15,12.63,1399.53,0,5.37,1.1,0,0,7.51,0,0,0,60.32,0.52,3.58,1.86,0,2.03
120,0,0,0,0,26.83,0,1.89,301.17,0,1.21,10.39,80.67,6.34,0,0,7.21,0,0,3.11,0,0,57.53,0,0,30.47,1523.47,0,9.17,2.87,0,0,3.07,0,2.27,0,8.06,0,0,0,9.78,0
