stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,25.28,90.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,47.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.45,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.38,0,10.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.32,0,0,0,3.5,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.23,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,1.03,14.33,0,0,0,0,0.97,0,1.83,1.66,0.82,4.49,0,0,0
 24-34,0,0,0,0.79,3.44,0.8,0,0,0,0,1.13,0,1.29,0,0,0.73,1.87,0,1.45,10.88,1.56,0,0.95,0,2.05,0,0,0,0,3.3,0,0,0
 36-46,0,0,0,0.69,9.1,0,0,0,0,0,0,0,0,0.56,0,0,5.36,0,0,11.93,0,0,0,0,14.15,0,0,0,0,1.93,0,0,0
 48-58,0,0,0,0.88,2.16,0,0,0.75,0,0.57,0.45,0,0,0,0,0,2.96,0,0,9.42,0,0,0,0,6.55,0.65,0,0,0,0.52,0,0,0
 60-70,0,0,0,0,5.39,1.92,0,0,0.83,0,0,0,0,0,0,0,5.55,0,0,1.89,0,1.42,0,0,6.91,0,0,0,0,1.75,0,0,0
 72-82,0,0,0,1.35,0.78,0,0,0,0.72,0,0,0,0,0,0,0,2.55,1.13,0,4.27,0,0.58,0,0,4.22,0,0,0,0,0,0,0,0
 84-94,0,0,0,2.89,0,2.47,1.75,0,0,0,0,3.36,1.38,0,0,0,6.6,0,0,0,0,0,0,0,30.62,0,0,0.62,0,0,0,2.51,0
 96-106,0,0,0,6.73,2.77,1.74,0,0,0.69,0,0,1.36,0,0,0.66,2.52,4.34,0,0,3.14,0,0.56,0.95,0,12.45,0,0,0,0,0,0.88,0,0
108-118,0,0,0,2.46,1.19,0.55,0,0,2.32,0,0,1.68,0.58,0,0,0.89,2.13,4.16,1.23,13.39,0,3.38,0,0,18.69,0,0,0.48,0,0,0,0.81,2.17
120,0,0,0,0,0,0,0,0,4.03,0,0,0,1.06,0,0,0,0,0,0,6.24,0,0,0,0,9.97,0,0,0,0,0,0,0,0
