stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.01,838.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,53.82,1192.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.43,0,0,0,0,0,17.93,0,0,0,0,0,0,0,0,0,0,0
  7-9,32.5,11.37,67.53,0,0,0,99.76,0,0,0,0,0,18.57,0,0,0,0,0,0,0,0,0,0,0,1076.88,22.27,0,0,260.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,31.6,55.94,0,0,0,84.7,0,0,0,0,0,27.87,0,0,0,0,0,0,0,0,0,0,0,858.44,48.83,0,0,379.03,0,4.05,22.17,0,45.39,0,5.78,0,0,0,0,0,0
 14-21,0,0,0.96,25.13,1.73,0,6.11,0,0,0,3.32,0,0,0,0,0,0,0,0,0,8.28,0,0,7.65,116.83,4.4,2.11,2.02,1.95,0,0.87,0.9,13.57,1.68,0,12.03,40.67,0,0,0,0,0
 24-34,0,0,0,4.15,0,0,9.74,0,2.05,0,0,1.22,0,0,0,0.61,0,0,12.46,3.28,28.6,3.18,0,6.26,210.03,3.12,0.67,1.96,0,0,11.44,0,0,0,0,4.42,54.82,0,0,6.54,0,0
 36-46,0,0,0,3.38,1.26,0,47.71,2.6,0,0,15.41,0,0,0.9,0,3.07,0,0,0,0,20.83,0,0.6,5.53,170.23,1.03,1.15,1.37,0,0,11.17,0,0,1.79,0,0,55.3,0,0,2.87,0,0
 48-58,0,0,0,4.32,0.69,0,68.75,0,0,0.51,27.39,1.07,2.77,0.78,0.49,0.39,3.38,0,0,0.82,24.17,0,0,2.8,198.1,0,0,0.75,0,0.45,14.92,0,0,0,5.4,0,41.57,0,1.79,0.6,0,0
 60-70,0,0,0,4.43,0,0,49.93,0,1.06,2.36,52.56,0,0,0.71,0,0,0.66,0,0,0,36.67,0,0,2.79,204.53,1.81,0.58,2.62,0,0,6.24,0,0,0.58,0,0,42.49,0,1.91,0.73,0,0
 72-82,0,0,0,11.45,10.92,0,89.34,0.51,0,1.7,29.82,0,0.65,0.5,1.07,0,3.28,0.75,0,0,44.35,5.44,0,1.79,142.6,2.3,2.72,2.8,0,0.87,5.02,0,0,0,1.05,0,21.3,0,0.88,7.48,4.46,2.33
 84-94,0,0,0,8.58,10.42,0,60.43,0,0.56,0,26.87,2.15,0.99,0,1.88,3.03,5.86,2.17,5.56,1.76,28.68,0,3.19,5.96,125.5,9.73,1.17,2.73,0,0,30.55,0,0,0,0,0,20.09,0,0,13.77,1.02,0.64
 96-106,2.68,0,0,16.03,3.35,0,52.69,10.44,0.96,2.06,18.05,0.68,0,4.82,2.17,0.64,0.63,0.88,1.54,2.94,56.7,2.99,2.51,2.6,92.75,0.66,0.72,7.39,0,0,32.91,0,0,0,0,0,0,1.57,2.62,8.99,0,6.09
108-118,0,0,0,14.45,0.9,4.89,38.29,1.5,3.17,2.04,28.28,2.53,0,0,1.15,0.55,0.73,0.56,0,0.52,49.4,0,2.58,6.72,133.75,0,0,7.08,0,5.22,30.36,0,0,2.71,0.47,0,8.93,0,0.69,4.96,6.46,1.93
120,0,0,0,15.19,0,0,56.22,0,17.64,4.44,50.01,1.55,0,0,3.53,0,0,1.48,0,0,88,0,0,7.85,194.42,11.94,0,2.87,0,0,12.08,0,0,0,0,0,15.48,0,4.12,1.84,8.03,3.64
