stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,13.72,2.16,21.61,0,15.12,0.87,4.72,0,0,0,0,7.18,8.72,0,1.05,155.87,7.38,0,9.72,1.04,0,4.34,0.91,8.4,1.13,0,3.44,53.53,0,0,0,25.65
 24-34,32.36,0,6.9,0.76,15.26,0,1.94,0,0,6.53,0,41.27,12.64,0,2.12,242.5,1.25,0,3.06,0,0,5.33,0,0,0,0,0.62,90.72,0,20.68,0,17.17
 36-46,7.86,0,7.59,0,20.87,0,3.22,0,0,9.02,0,42.03,26,0,1.23,125.18,0,0,0,0,0,4.5,0,0,1.46,10.09,0,58.92,0,27.41,0,35.57
 48-58,2.55,0,6.89,0.53,14.78,0,2.54,0,0,4.04,0,30.64,9.89,0.45,0,49.01,0,3.42,1.59,0,0,0,0,0,0,0,0,30.29,0,11.52,0,5.96
 60-70,0.72,0,12.52,0,6.78,1.76,0,1.34,0,3.79,0,9.53,3.41,0,0,50.92,0,0,0,0,0,0,0,0,0,0.64,0,7.52,0,1.82,0,4.52
 72-82,0,0,4.66,1.18,5.04,0.6,3.37,0.58,0,5.94,2.82,2.25,11.49,1.88,0,25.95,0,2.83,0,0,0,0.54,0,0,0,0,0,3.91,0,2.2,0,11.06
 84-94,0,5.93,3.21,0,0.73,0,1.43,0,1.56,4.15,0,5.76,4.05,0,0,13.22,0,0.8,0,0,0,1.28,0,0,0.7,0,0,0,2,1.16,0,24.14
 96-106,0.62,2.29,2.83,0,1.52,0,5.38,0,0,9.57,0,4.9,4.15,0,0,17.66,0,9.68,0.87,0,2.49,5.62,0,0,0,0,0,5.24,0,16.69,0.69,16.68
108-118,1.82,0,9.27,0,2.28,0,2.25,0,0,20.71,0.41,0.68,9.71,0,0,35.19,0.42,7.12,0,0,0,0,0,0,0,0,0,3.39,0,11.38,0,16.73
120,7.2,0,10.48,0,33.61,3.55,11.08,0,0,4.21,0,1.79,18.42,3.51,0,28.48,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,8.14
