stage,endocrine_pancreas,eye,fast_muscle,glial,mesenchyme,neural,spinal_cord
 24-34,0,0,0,0,0,0,1.28
 48-58,0,0.54,0,0,0,1,0.4
 72-82,0.61,0,1.78,1.86,2.1,0,0
 96-106,0,0,0,0,0,3.48,0
120,0,0,0,0,0,4.99,0
