stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,neural,olfactory,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,20.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.31,0,0,0,0,0,0,0
 10-12,0,0,0,3.72,0,0,0,0,0,0,0,0,0,0,4.23,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,2.13,0,2.07,0,0,0
 24-34,0,0,0,0,1.53,0,0,0,0.71,0,0,0,0,0,0,0,32.1,0,0,8.01,0,0
 36-46,0,2.04,0,0,0,0,0,0,3.64,1.63,0,0,0.58,0,0,0,53.29,0,0,17.03,0,0
 48-58,0,3.13,0,1.72,0.56,0,0,0,23.8,0,0,0,0,0,3.02,0.39,64.38,0,1.03,10.08,0,4.11
 60-70,0,3.9,0,0,1.7,0,0,9.73,6.23,0,0,0,0,0,0.95,0,83.2,0,0,0.64,0,0
 72-82,0,1.53,2.93,0.51,0,0,0,0,2.75,0,0,0,1.2,0.92,1.37,0,61.14,0,0,5.2,0,0
 84-94,0,4.8,0,5.04,2.37,0,0,0.76,10.8,5.92,0,0,0.62,0,0,0.61,139.46,0,0,14.88,0.89,0
 96-106,0,7.51,1.91,1.85,4.27,0,0,0,4.84,2.06,0,1.12,6.92,0,6.53,0,142.55,0,0,0,0,0
108-118,0,13.74,0,0,6.2,6.76,0.64,0,3.73,3.12,0,0,0.93,0,6.89,0,114.12,1.36,0,9.71,0,0
120,0,21.99,0,0,4.28,0,0,0,60.23,3.97,1.07,0,1.31,0,0,0,89.01,0,0,68.73,3.79,0
