stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,3.13,2.42,0,0,1.71,0,0,0,0,0,0,0,1.12,0,17.37,0,1.09,1.74,0,0.9,0,0,2.95,0,0,0,0
 24-34,0,0.72,0,2.12,0,0,0.66,8.93,0,0,0,0,0,2.76,0,60.67,1.36,0.74,0,0,0,1.34,0.66,11.88,0,1.41,0,0.79
 36-46,0,0,0,6.63,0,2.16,0,0,0,0,0,0,0,1.33,0.76,81.8,1.14,0,0,0,0,0.94,0,19.05,0,10,0,0
 48-58,0,0,0,14.64,4.37,4.26,0,0,0,0,0,0,0.56,3.15,0.45,98.62,0,0,0,3.44,0,0,0,18.99,0,0.43,0,1.29
 60-70,0,0.85,0,17.02,0,8.03,1.57,0,0,0,0,0,0,3.61,0,125,0,2.13,0,0,0,0,0,2.58,1.03,2.3,0,0
 72-82,0.98,0,0,26.7,0,2.05,0,0,0,0,0,0,0,3.34,0,111.98,0,0.67,0,0,0,0,0,7.02,1.37,0,0,0
 84-94,0,4.19,0,13.85,0,6.28,0,0,0,0,0,0,0,0.63,0,90.29,0,0,0,2.49,0,0,0,1.41,2.55,0,1.16,0
 96-106,0,7.83,0,16.55,0,3.18,0,0,0.72,0.8,0,0,0,0.97,0,96.34,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0.46,0,6.62,0,8.33,0,0,2.01,0,0,0,0,0.74,0,52.91,0,0,0,0.58,0,1.69,0,2.75,0,0,0,0
120,0,0,0,2.21,0,0,0,0,0,0,16.34,6.94,0,0,0,121.58,0,0,0,0,0,0,0,0,0,0,0,0
