stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,17.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,19.42,0,0,0,7.15,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31,3.16,0,0,0,0,9.11,0,0,0,0,0,0
 14-21,0,2.53,0,0,0,7.19,0,3.84,0,0,3.86,0,1.21,5.81,0,0,1.05,0,0,4.7,1.53,18.42,0,0,0,0
 24-34,0,5.54,0,0,0,1.4,0,1.48,0,0,3.71,0,2.95,12.92,0,1.06,0,0,0,3.91,0,14.15,0,1.55,0,0
 36-46,0,0,0,1.75,0,3.81,0,2.56,0,0,23.41,0,0,5.73,0,3.37,0,0,0,1.71,0,6.04,0,0,0,0
 48-58,0,0,0.85,0,0,1.2,0,1.07,0,0,4.21,0,1.14,3.81,0,5.04,0.77,0,0,1.59,0,12.54,0,0,0,7.32
 60-70,0,0,0,0,0,10.43,0,0,0,0,4.11,0,0,0,0,2.85,0,0,0,3.18,0,11.26,0,0,0,0
 72-82,0,2.32,8.84,0,1.77,16.91,1.18,0,0,0,31.36,0,0.79,18.13,0,6.9,0,0,0,0,0,7.33,0,3.29,0,0
 84-94,0,0,4.43,0,0,7.67,0,0,0,0.68,5.09,0,1.62,10.4,0,10.51,3.3,0,0,3.08,0,7.28,0,0,2.44,0
 96-106,0,2.21,8.27,1.94,0,29.06,0,0,0,0,12.92,0,1.35,14.53,0,5.89,0,0,0,3.17,0,7.97,0,0.58,0,0
108-118,0,1.93,2.16,0,0.74,23.2,0,0,0,0.59,12.88,1.08,0.92,4.03,0,4,2.77,0,0,3.54,0,2.99,0,0,0,0
120,0,0,33.45,2.75,0,16.82,0,0,1.63,0,16.49,0,0,2.04,0,7.6,0,0,0,5.92,0,9.98,1.51,0,0,0
