stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.98,184.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,0,0,0,0,0,0,0
  5-6,6.98,185.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.31,0,0,0,7.16,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.65,0,0,0,9.14,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.93,0,0,2.03,0,0,0,0,0,1.26,0,0,0,0,0,0,1.76,0,0,2.3,19.56,0,0,0,0,0,0,0.9,0,0,0.94,9.98,0,0,0,0
 24-34,0,0,2.69,0.85,0,0,8.44,0,0.9,0,0,0,0,0,0.66,0,0,0,0,8.35,0,0,15.6,49.09,0,0,1.37,0,0,0,0,0,1.32,0,27.49,0,0,0,0
 36-46,0,0,0,0.58,0,0,15.29,0,0,0,0.63,0,0,0,0,0,0,0,1.96,21.38,0,0,10.11,155.95,0,0,0,0,0,0,0,0,6.69,0,47.54,0,5.37,0,1.02
 48-58,0,0,0,1.85,0,0,37.28,2.78,0,0.56,9.9,0,0,0,0,0,0,0,1.54,8.45,0.8,0,3.56,151.54,0,0,0.7,0,0,0,0,0,4.62,0,35.95,0,1.16,0,4.77
 60-70,0,0,0,0,0,0,112.11,0.65,0,0,7.3,0,0,0,0,0,0,0,0,12.27,0,0.66,4.96,337.78,0,0,0,0,0,0,0,0,1.38,0,45.22,0,0.58,0,0
 72-82,0,0,0,1.16,2.42,0,132.4,0.58,0,1.37,27.12,0,0,0,0,0,0,0,0.87,23.81,0,0,9.86,313.29,0,0,4.01,0,1.05,0.79,0,1.26,5.85,0,23.7,0,1.54,0.77,6.61
 84-94,0,0,0,3.12,0,0,101,3.35,0,1.12,25.36,0,0,0,0,0,0,0,1.19,22.98,0,0,2.26,188.81,0,0,3.76,0,0,0,0,0,1.38,0,34.78,0,0,0,1.97
 96-106,0,0,0,0,1.27,0,110.55,2.97,0,3.06,11.49,1.5,0,0,0,0,0,4.97,1.99,10.91,0,2.73,4,129.29,0,3.25,7.22,0,0,0,0,0.73,0,0,8.09,0.56,4.63,4.02,5.74
108-118,0,0,0,0.47,0,0,122.46,2.6,0,0,38.35,1.35,0,2.94,0,5.43,0.82,0,3.79,17.1,0,0,0.42,260.17,4.27,0.49,7.89,0,0,0.48,0,0,1.04,0,1.26,0,0.91,1.15,0
120,0,0,0,2.57,0,13,134.46,3.87,0,2.6,95.5,0,0,4.1,0,0,1.54,0,0,30.69,0,23.52,4.46,551.69,0,2.88,37.6,0,0,0,0,1.26,2.58,0,50.9,0,0,0,0
