stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,89.35,1471.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.22,0,0,0,0,0,0,0,0,0,0
  5-6,37.84,549.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.85,0,0,0,32,0,14.4,0,0,0,0,0,0,0,0,0,0
  7-9,26.82,40.21,0,82.51,0,0,32.91,0,0,0,0,0,8.41,0,0,0,0,0,0,0,0,0,0,0,676.59,84.49,0,0,433.2,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,110.98,0,164.8,0,32.09,136.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2565.19,118.58,0,0,984,0,0,11.29,165.63,0,13.68,5.32,0,0,0,0,0
 14-21,0,0,3.35,2.73,84.13,15.08,55.99,0,0.82,0,43.82,5.99,0,3.55,0,0,0,0,0,0,58.08,0,0,36.82,904.39,15.38,14.03,26.29,31.47,0,0,99.07,46.3,2.53,37.63,453.11,0,0,0,0,0
 24-34,0,0,4.54,5.64,27.3,0.66,77.95,0,4.4,4.82,70.01,1.3,0,3.96,0,0,0,3.56,2.29,1.09,87.47,0,1.7,52.29,1325.08,7.26,55.8,17.4,0,2.91,4.88,0.76,8.67,0,18.12,387.81,0,0,21.48,0,0.95
 36-46,0,0,1.71,0,8.16,0,187.99,0,1.13,15.07,58.89,2.38,0,1.67,0,0,0,2.6,0,0,122.6,0,1.74,35.47,1450.67,5.37,71.65,22.78,0,0,18.43,1.05,10.11,0,0.83,393.94,0,0,10.47,0.78,0
 48-58,0,0,0,0,16.03,0,677.74,0,2.52,6.81,99.46,0,0,1.82,1.99,0,0.41,2.33,4.17,0,179.21,0,3.17,21.12,1449.18,7.58,36.27,11.87,0,0.93,7.05,0,1.9,0,0,272.64,0,1.77,7.54,0,1.71
 60-70,0,0,0.7,0,17.15,0,1329.86,0.59,1.82,10.19,109.13,1.25,0,0,0.65,0,0,3.17,3.07,0,236.31,0,7.34,16.03,1439.83,7.77,23.79,5.57,0,0,6.99,0,1.87,0,0,145.29,0,3.48,3.04,0.81,3.58
 72-82,0,0,7.76,0,10.75,3.94,1047.88,1.66,3.34,8.1,125.64,1.3,0,4.04,2.57,0,3.05,10.04,6.66,0,235.01,2.18,11.47,14.07,1182.74,1.76,55.55,20.24,0,0,1.85,0,0.87,0.53,0,83,0.8,10.13,11.81,4.85,6.55
 84-94,0,0,2.78,0,22.4,0.74,1146.32,0.56,6.32,12.12,105.81,9.68,0,2.27,1.63,2.08,0,1.03,0,0,227.26,0,5.81,15.75,794.62,5.84,37.11,14.98,0,10.51,6.82,0,0.77,0,0,81.39,1.03,16.33,5.93,4.39,0
 96-106,0,0,2.69,0.72,19.92,7.51,733.79,0,1.15,10.06,127.5,4.3,0,2.97,2.63,0,1,8.92,3.07,0,172.59,0,4.17,11.75,607.71,0.66,50.47,19.56,0,0,14.2,0,1.74,0,0,36.52,0.66,2.11,5.38,9.82,0
108-118,3.02,0,2.53,0.42,25.83,0,638.77,0,2.59,9.8,100.63,4.14,0,2.01,2.23,2.04,0.56,7.16,0.7,0,180.61,0,5.23,5.03,861.71,2.9,46.3,11.41,0,0,6.33,0,1.75,0,0,42.38,0,1.86,5.64,3.25,3.05
120,0,0,0,0,8.09,1.53,617.19,0,2.25,7.82,114.62,0,0,2.18,1.06,0,0,11.04,0,0,178.45,0,0,5.87,986.51,4.99,17.83,7.44,0,17.57,1.51,0,5.11,0,0,11.62,3.65,7.45,13.72,10.36,6.16
