stage,blastomeres,erythrocytes,eye,glial,immune,mesenchyme,muscle,neural,paraxial.mesoderm,spinal.cord,vasculature
  3-4,13.32,0,0,0,0,0,0,0,0,0,0
  5-6,9.08,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,9.24,0,0
 10-12,0,0,0,0,0,0,0,6.98,8.56,0,0
 14-21,0,0,1.11,0,0,0,0,0,0,1.2,0
 24-34,0,0,1.04,0,0,0.67,1.03,0.76,0,0,0
 36-46,0,0,0,0,0,0,0,1.14,0,0,0
 60-70,0,0,0,0,0,0,0,1.34,0,0,0
 84-94,0,0,0,5.04,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,4.85
108-118,0,0,0,1.23,0.45,1.92,0,0,0,0,2.46
120,0,2.59,8.64,0,0,0,0,35.25,0,0,97.58
