stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,343.4,10544.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533.76,0,0,0,0,0
  5-6,426.26,5766.37,10.71,0,0,0,0,0,14.89,0,0,0,192.2,0,0,53.79,82.44,0,0,0,0,0
  7-9,59.12,69.3,58.04,0,0,105.49,0,0,34.34,0,0,0,1028.08,53.49,0,392.83,3.28,8.66,0,0,0,0
 10-12,0,9.13,18.06,0,0,45.75,0,0,14.33,0,0,0,417.26,25.92,0,79.13,0,0,0,15.61,0,0
 14-21,0,0,0,0.87,1.69,2.45,0,0,0,0,0,0,50.68,0,0,0.9,3.81,0,0.94,0,1.81,8.24
 24-34,0,0,0,0.61,0,0,0,0,0,0,0,0,15.81,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,6.72,0,0,0.68,0,0,10.01,0,0,0,1.24,0,0,0,0,0
 48-58,0,0,0,0,0,1.09,0,0,0,0.86,0,0.44,16.05,0,0,0,0,0.65,0,0,0,1.04
 60-70,0,0,0,0,0,1.77,0,0,0,0,0,0,7.12,0,0,0,0.86,0,0,0,0,1.83
 72-82,0,0,0,0.78,0,0.7,0,0,0,5.93,0,0,14.01,0,0,0,0.55,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,2.36,0.92,12.11,0,0,0,1.83,0,0,0,0,0
 96-106,0,0,0,0.6,0,3.95,0,0,0,2.72,0,0,0,0,2.4,0,0,0,0,0,0,0
108-118,0,0,0,0.97,0,0,0.66,2.79,0,1.07,0,0.71,6.31,0,0,0,1.87,0,0,0,0,1.21
120,0,0,0,0,0,0,0,0,0,0,3.7,1.5,19.16,0,0,0,6.23,0,0,0,0,0
