stage,axial,epidermis,eye,fin.epithelia,glial,ionocyte,mesenchyme,muscle,neural,paraxial.mesoderm,pericytes,periderm,spinal.cord
  7-9,3.44,0,4.49,0,0,0,0,0,0,4.53,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.94,0,0,0,0
 24-34,0,0,0.8,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,1.87,0,0,0,1.22
 48-58,0,2.33,0,0,0.6,0,0.55,0,1.42,0,0,0.65,0
 60-70,0,0,1.74,0,0,0,0.66,0,4.99,0,0,1.23,0
 72-82,0,0,3.4,0,7.71,0,1.78,0,14.42,0,0,0,0
 84-94,0,2.04,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,3.47,0,0,0,0,1.49,0,4.37,0,0,0,0.66
108-118,0,0,0,1.93,0,0.44,0,0,5.92,0,1.49,0,0
120,0,1.08,0,0,0,0,0,1.32,0,0,0,0,0
