stage,blastomeres,epidermis,erythrocytes,eye,glial,ionocyte,iridophores,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,pericytes,pronephros,spinal.cord,vasculature
  3-4,11.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.82,0,0,0,0,0,5.34,0,0,13.5,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,8.66,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0
 24-34,0,1,0,0,0,0,0,0,0,3.06,0,0,0,0,1.79,0.73,0
 36-46,0,0,0,0,0,0,0,0,0,0.62,2.44,0,0,0,0,2.2,0
 48-58,0,0,0.69,0.67,0.49,0,0,0.57,0,0,0,0,0,0,0,3.62,0
 60-70,0,0,0,1.02,4.87,0,0,0.69,0,10.52,0,0,0,0,0,1.72,0
 72-82,0,0,0,1.35,0.56,0,0,0,0,0,2.23,1.48,0,1.31,0,0,0
 84-94,0,0,0.79,0,1.45,0.74,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,8,0,0,0,0,0,0,0,0,0.82,0,0,0,0,2.5
108-118,0,1.05,0,0,2.41,0,0.5,0,3.6,0,0,0,0,0,0,0,0
