stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,34.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.51,0,0,0,0,0,0,0,0
  5-6,19.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85,0,0,3.4,0,7.15,0,0,0,0,0,0,0,0
 10-12,5,0,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6.22,0,0,1.41,0,0,0,0,0,0,0,0,0,0,1.78,0,0,56.32,6.79,0,0,0,2.81,0.95,0.84,46.59,0,0,0.9,0,0
 24-34,0,4.77,0,0,0,8.5,0,0,0,0.96,0,0,0,0,0,0,0,0,378.68,86.17,1.82,0,0,8.8,0,0,151.76,0,0,18.57,0,0
 36-46,0,0,0,0,0,43.87,0,0,0,6.93,0,9.47,0,0,0,13.88,0,1.21,726.79,86.04,0,0,0,0,0,0,158.42,0,0,2.55,0,0
 48-58,0,0.39,0,4.62,0,132.77,0,0.44,0,34.28,0,0,0,0,1.59,0.88,0,1.01,979.14,47.47,0,0,0,0,0,0,127.88,0,0,0,0,0
 60-70,0,1.22,0,7.93,0,557.4,0,0,0.86,21.12,0,0,0,0,0,5.73,0,0,1200.31,29.87,0.63,0,0.71,0,0,0,102.02,0,4.21,0,0,5.92
 72-82,0,7.18,0,8.42,0,774.69,0,0,0.89,30.74,0.54,0.66,0,0.79,5.32,11.28,0,0,1019.73,43.76,0,0,0,0,0,0,43.34,0.82,0.66,0,0,12.08
 84-94,0,8.66,0,7.97,0,599.79,0,0,0,30.6,4.84,0,0.62,1.82,0,5.7,0.92,1.09,725.86,45.03,0.88,0,0,1.8,0,0,26.01,0.55,0,0.77,2.78,0
 96-106,0,1.62,0,12.42,0,639.9,0,0,0,11.07,1.77,0,5,0,0,1.77,0,0.78,524.93,37.33,1.29,0,0,0,0,0,30.13,0,0,0,0,0
108-118,0,2.22,0,9.65,1.55,638.67,2.78,0,0,33.24,0,0,0.73,0,2.4,0.6,0,0,539.94,29.48,1.13,0,0,0,0,0,12.54,3.52,0,0,1.03,0
120,0,1.22,0,1.69,0,522.25,0,0,0,38.01,6.44,0,8.53,0,0,10.38,0,0,896.1,17.41,0,0,0,1.03,0,0,19.83,1.99,0,0,0,0
