stage,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,olfactory,otic,periderm,pgc,spinal.cord,visceral.smooth.muscle
 14-21,0,0.86,0,0,0,1.21,0,0,0.86,1.14,2.91,0,0,0,0,5.67,0
 24-34,0,0,0,0,0,0,0,1.03,3.29,0,35.66,0,0,0,0,3.95,0
 36-46,0,10.76,1.04,0,0,0,0,0,0,0,41.04,0,4.54,0,0.81,6.64,0
 48-58,0,0,5.8,0,3.8,0,0,0,1.73,0.37,42.46,0,0.38,0,0,3.64,0
 60-70,0,3.93,21.24,5.21,0.77,0,3.36,0,8.28,0,110.07,0,0,0.58,0,11.1,0
 72-82,0,0.9,22.49,0,2.82,0,1.04,0,2.12,0,48.53,0,0,0,0,4.21,0.51
 84-94,0,0,21.33,0,1.05,0,0,0,0,0,27.73,0,0,0,0,1.52,0
 96-106,0,0,7.78,0,0,0,0,0,4.19,0,7.04,0,0,0,0,0,0
108-118,0.71,0,7.83,0,0,0,0,0,0,0,22.5,0.95,0,0,0,0,0
120,0,1.72,24.14,0,0,0,0,0,0,0,17.2,0,0,0,0,10.98,0
