stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,29.13,36.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,84.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.99,0,0,0,4.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,42.55,0,0,0,4.23,0,0,0,0,0,7.19,0,0,0,0,0,0,0,0,84.28,0,0,0,11.36,0,0,0,0,0,0,0,0,0,0,0
 14-21,4.43,0,9.01,473.5,37.86,32.62,0,0,0,0,0,4.11,732.84,7.61,0,0,0,0,196.3,0,0,124.68,103.82,5.6,0,0,0,0,0,5.63,155.75,1.5,7.71,90.78,0,0,0,0
 24-34,0,0,0,312.89,5.97,0,0,0,0,0,0,0,381.44,0,0.69,0,0,2.2,244.23,0,0,49,114.69,1.15,0,0,0,0,1.53,0,196.19,1.01,2.82,43.39,0,0,3.84,0
 36-46,0,0,0,17.61,3.04,0,0,6.39,0,0,1.08,0,78.12,0,0,0,10.56,36.14,390.71,0,5.46,21.64,41.51,0,0.6,0,0,0,0,0,109.46,0,1.05,5.59,0,2.08,1.01,0
 48-58,0,0,0,0,5.73,0,0,18.38,12.27,1.68,2.97,1.86,10.1,0,0,0,0,0,532.46,0,11.41,32.67,57.51,0,0,0,0,0,4.85,0,59,0,0,7.2,0,0,18.01,0
 60-70,0,0,0,0,19.6,0,0,7.11,0.93,0,20.96,9.92,14.96,0,0,0,0,2.74,731.03,0,0.85,41.37,60.07,0,0,0,0,8.45,0,0,50.42,0,0,18.23,0,3.01,51.13,4.62
 72-82,0,0,3.67,0,3.23,0.5,0,69.04,1.44,1.14,11.62,14.73,66.71,0,0,0.89,0,3.49,1289.92,0,5.04,40.27,97.89,0,0,0,0,0,6.88,0,51.08,0,0,3.79,0,4.65,110.2,19.91
 84-94,0,0,9.66,0,12.45,6.01,0,78.85,0,8.02,6.5,2.83,117.8,0,0,0,0,10.88,1199.45,0,5.45,42.33,52.68,0,0,0.79,0,0,0,0,119.51,0,0,4.15,0,3.82,121.43,26.92
 96-106,0,0,5.08,0,22.46,9.65,0.98,89.98,0,0.69,2.09,10.58,262.06,0,0,6.01,0,6.67,1072.74,0,2.34,33.52,127.14,0,0,0.77,0,3.73,7.18,0,101.89,0,0,0,1.57,0,256.02,20.19
108-118,0,0,8.82,0,32.07,0,0,39.89,0,3.9,9.58,8.73,404.86,0,0.49,0.64,0.88,0.43,1600.38,0.75,1.62,69.57,95.39,0.54,1.3,5.64,0,1.82,3.88,0,97.01,0,0,1.49,0,0,145.25,31.33
120,0,0,4.32,0,22.25,0,5.97,46.47,0,0,0,0,374.05,26.01,0,3.15,0,8.3,1270.51,1.56,0,18.47,140.03,0,0,0,0,0,0,0,40.61,0,0,12.37,0,1.95,246.39,14.73
