stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,18.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7,0,0,0,0,0,0,22.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.94,36.06,0,0,12.27,0,3.78,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.14,0,219.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2161.82,270.29,0,0,107.03,0,4.24,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,11.58,1179.79,0.81,0,9.59,0,9.67,0,4.08,4.65,23.22,0,5.23,0,0,0,20.8,1.02,0,5.86,108.54,86.26,5.23,2.85,1.59,0,2.32,0,1.76,2.94,2.16,113.37,0,0,0,0,0
 24-34,0,0,0,6.56,661.49,0,0,31.38,0,90.82,0,27.43,0,17.91,0,2.83,0,14.46,0,23.39,7.04,0.69,11.85,198.31,20.94,2.33,4.71,0,0,22.77,0,2.78,9.15,0,141.52,0,0,4.44,0,0
 36-46,0,0,0.95,0.56,470.26,0,0,37.67,0,114.89,0,26.08,0,8.29,11.77,6.23,0,16.99,0,23.79,1.36,0,6.17,195.93,15.18,1.38,1.67,0,0,28.77,0,0.62,0.58,0,91.52,0,0,0,0,0
 48-58,0,0,0,0,334.42,0,0,55.33,1.18,97.5,0,53.26,0,1.95,5.48,0,3.3,27.55,2.1,34.58,3.76,0.51,10.49,144.14,34.77,1.25,9.6,0,0.73,11.29,0,5.65,1.6,0,68.99,0,0,0.55,0,2.51
 60-70,0,0,0,0,421.61,0,0,41.13,0,161.51,0.87,26.22,5.67,1.68,24.43,1.79,0,34.79,0,39.6,5.57,0.69,9.54,134.99,18.98,1.84,11.99,0,0,22.68,0,3.53,0,0,42.95,1.62,1.03,0,0,4.41
 72-82,0,0,0.58,0,195.7,8.78,0,21.24,0,79.57,4.72,82.71,10.71,0,12.76,4.8,0,50.62,0,57.08,2.24,12.61,14.27,99.78,5.49,3.2,20.65,0,0,13.19,1.65,4.45,0,0,61.96,0.81,0.87,1.56,2.81,0
 84-94,0,0,0,0,275.24,0,0,33.53,0.56,106.77,0,67.92,23.57,0,3.37,5.3,0,53.43,1.49,21.49,2.4,21.36,2.32,65.71,16.31,2.44,16.32,0,0,12.01,0,5.56,1.47,0,57.23,4.47,0,6.1,5.42,0
 96-106,0,0,3.3,0,243.31,4.4,0,27.15,1.46,73.03,0,48.16,17.22,0,3.97,1.86,1.47,37.3,0,26.59,0.76,4.55,3.27,95.65,4.69,7.28,15.2,0,3.77,14.7,0,0.82,0,0,52.57,3.05,0,0,2.46,0
108-118,0,0,1.33,0,369.86,0.81,0.45,54.52,0,130.17,1.7,64.63,18.68,3.22,1,8.9,7.37,34.18,0,33.11,2.49,11.78,7.65,56.89,11.4,7.04,26.44,0,0,11.25,0,5.77,0.86,0,41.06,15.23,3.77,0,2.68,6.6
120,0,0,0,0,431.27,10.42,0,27.78,0,158.35,0,39.78,16.14,1.15,20.28,3.56,0,34.32,0,43.58,4.7,26.31,4.39,125.42,16.62,16.79,49.02,0,0,22.37,0,3.15,0,0,50.07,4.1,0,0,0,0
