stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,9.84,2.44,0,5.46,0,0,0,0.82,0,0.98,0,0,0,0,0,0,0,3.76,0,0,4.04,64.42,0,0,0,2.32,0,0,9.36,2.07,4.02,28.73,0,0,0.89,0,0
 24-34,0,5.88,0.81,0,16.71,0,0.85,0,7.37,0,0,2.15,0,0,0,3.34,0,1.41,13.11,0,0,8.17,154.05,1.73,1.05,0,0,0,0.86,0,2.65,10.35,37.82,0,0,1.47,0,5.95
 36-46,0,1.42,0,0,31.79,1.74,0,0.6,8.86,0.72,0,0,0.64,0,0,0.57,0,0,43.05,0,0,5.77,205.74,0,12.17,0.97,0,0,18.55,0,0,0,53.61,0,0,3.62,0,0
 48-58,0,4.99,0,0,43.2,0,0,0.44,7.84,0,0,0,1.83,0.37,1.84,0.44,0,3.63,18.82,0,0,3.78,121.22,0,0,0.41,0,0.59,1.55,0,0,0,27.32,0,0,0.81,0.9,2.88
 60-70,0.57,3.36,0,0,101.45,0,0.67,0,19.81,2.57,0,0,0,0.92,0,0,0,0,32.86,0,1.4,4.43,158.35,0.68,3.28,11.45,0,0,5.24,0,0,0,30.72,0,0,8.56,0,0
 72-82,0,2.91,1.47,0,53.05,0.82,0,0.58,11.95,0.99,0,0.51,0,0,0,2.12,0,0,36.87,0.57,3.75,0,95.45,0,0.53,0,0,0,0,0,0.55,0,17.66,0,1.26,6.52,0.91,0
 84-94,1.05,7.26,0.71,0,74.55,0,0.77,1.74,16.98,0,1.57,1.14,2.05,0.75,0,0,0,0,40.89,0,0.57,4.03,98.65,0,0,1.7,0,4.76,8.08,0,0,0,26.27,3.05,0,5.68,2.06,9.48
 96-106,0,1.79,9.54,0,30.86,0.93,1.35,0,14.09,2.97,0,0,1.95,0,1.5,0,2.18,0,23.01,0,0,1.8,73.38,0,1.36,4.01,0,0,4.03,0,0,0,11.33,0.66,0,1.55,0,0
108-118,0,7.01,3.32,0.58,27.23,0,0,0,11.73,0,0,0,0,0,6.69,0,0.42,0,42.93,2.35,11.56,3.44,74.49,1.4,1.23,0.72,0,0,6.34,0,0.52,0,4.69,0,0,2.4,0,2.23
120,0,11.36,0,0,26.32,0,0,8.63,18.31,0,0,2.09,3.69,0,1.58,0,0,0,13.04,0,13.51,4.65,74.22,1.29,0,15.67,0,0,4.94,0,0,0,0,1.99,2.93,7.07,0,0
