stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,88.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.44,67.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.17,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.43,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,0,0,66.24,0,0,0,3.71,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,25.43,0,0,0,0,0,0,0,12.79,0,0,0,0,0
 14-21,0,0,0,0,0.9,0,2.84,5.23,1.38,0,0,0,0,0,0,0,0.91,14.59,0,0,0,0,0,0,1,0,4.77,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0.84,1.45,18.58,0,0,0,0,0,2.39,0,0,5.5,0,0,0,0
 36-46,0,0,0,0,0,0,5.53,1.15,0,0.65,0.56,0,0,0.71,1.34,0,0.7,30.28,0,2.26,0,0,0,0,0,0,10.91,0,0,0,0
 48-58,0,0,0,0,2.59,0,8.06,3.54,0,0,0,0,0,0,5.49,0,0,28.77,0,0,0,0,0,0,0,0,4.06,0,0.4,0,0
 60-70,0,0,0,0,1.12,2.33,50.58,1.15,0,0,0.58,0,0,0,2.65,0,0,38.85,0,0,0,0,0,0,0,0,4.8,0,0,0,0
 72-82,0,0,0,0,0,0,20.83,0.76,0,0,0.5,0,0,0,3.9,0,0,26.04,0,0,0,0,0,0,0,0,0.71,0,0,0,0
 84-94,0,0,0,0,0.78,0,16.92,1.78,0,0,0,0,4.06,0,2.74,0,0,29.2,0,0,0,0,1.59,0,0,0,3.68,0,0.84,0.97,0
 96-106,0,0,1.05,0,0,0,11.9,2.8,0,0,2.44,0,0,0,4.27,0,0,7.6,0,0,0,0,0,0.73,0,0,2.21,0,0,2.62,1.4
108-118,0,0,0,0,2.77,0,12.66,0.52,0.48,2.95,1.13,0,5.15,0,3.48,0,0,19.96,0,1.04,0,0,0,0,0,0,5.39,0.7,1.51,0,0
120,0,0,0,0,0,0,45.35,4.69,0,0,4.86,1.63,0,0,4.59,0,2.94,22.62,0,0,1.16,0,0,0,0,0,0,0,0,0,0
