stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,glial,hatching_gland,ionocyte,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,11.28,103.49,0,0,0,0,0,0,0,0,0,0,0,0,0,26.04,0,0,0,0,0
  5-6,0,36.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.28,0,0,0,0,0,0,5.09,0,0,0,0,18.08,0,3.4,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96,0,0,0,0,0,0
 14-21,0,0,0,2.68,0,0,0,0.85,0,3.51,0,2.46,4.31,0,0,0,0.92,0.83,0,0,0
 24-34,0,0,0.89,0,0,0,0,0,0,5.53,0,2.44,1.11,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,1.44,0,0,0,0,1.91,0,0.72,5.18,1.42,0,0,0,0,1.62,0,0
 48-58,0,0,0,0,0,1.08,0,0,0,0.49,6.96,0,5.95,0,0,0,0,0,0.98,0,0
 60-70,0,0,0,0,16.41,0,0,1.21,0,5.34,0.67,0,5.82,0,0,0,0,0,0,1.66,0
 72-82,0,0,0,0,10.25,0,0.55,0,0,4.9,3.95,0,6.54,0,0,0,0.49,0,1.77,0.5,0.59
 84-94,0,0,0,1.92,9.33,0,0,0,0,0,7.41,0,5.72,0,0,0,0,0,0,1.08,0
 96-106,0,0,0,0,4.04,0,0,0,0,0,3.75,0,0,0,0,4.02,1.68,0,0,0,0
108-118,0,0,0,0,3.89,0.44,0,0,0.42,0,3.49,0,4.28,0,0,0,0,0,0,0,0
120,0,0,0,0,3.69,0,0,0,0,0,1.38,0,12.85,0,0,0,1.6,0,0,0,0
