stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,31.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46,3.16,0,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.45,0,0,0,0,0,0,1.1,0,0,2.39,0,0.82,0,0,0,0,6.83,0,0,0.81,9.72,0,0,0,0,0,1,0,0.89,1.78,0.81,7.77,0,0,1.41,0,0
 24-34,0,0,0.68,0,0,0,6.22,0,0,0.72,1.25,0,0,3.94,0,0,0.6,0,0,0.59,15.68,0,0,9.72,84.86,0.65,0,3.27,0,0,2.6,0,1.54,0,4.49,23.63,0,0,6.44,0,0
 36-46,0,0,0,11.44,0,0,11.65,0,0.57,0,12.84,0,0,0,0,0,0.74,0,0,1.47,42.68,0,1.06,10.1,159.8,1.12,0,3.46,0,0,7.17,0,1.56,8.4,0,31.74,0,0,5.69,0,4.28
 48-58,0,0,0,10.19,0,0,9.23,0.39,6.16,3.96,11.82,0.64,0,1.23,0.47,0,0.91,0,0.39,2.73,51.95,0.83,1.79,7.86,86.15,0.55,0,1.68,0,0,5.83,0,0.89,0,0,23.61,0,0,3.6,0,11.88
 60-70,0,0.57,0,17.44,0,0,64.27,1.28,4.32,1.54,26.8,0,0,0,3.58,0,4.53,1.03,3.05,0,88.5,1.1,5.5,6.59,109.1,0.62,0.84,1.54,0,0,20.43,0,0,1.48,0,17.33,0,6.08,5.38,0,9.24
 72-82,0,0,0,17.04,5.77,0,146.92,1.11,0,9.3,18.61,3,0,0,4.15,0.64,2.21,0,6.36,2.29,145.2,0.83,6.23,13.52,182.04,0,1.29,3.31,0,0,13.46,0,0.61,0,0,17.6,1.21,1.91,12.78,1.16,1.68
 84-94,0,1.15,0,39.13,5.41,2.48,84.35,1.97,2.96,5.38,18.29,5.3,0.6,5.99,10.44,2.79,5.91,1.32,7.24,6.73,117.85,7.01,4.27,12.84,107.53,8.29,0,4.43,0,0.6,38.6,0,0,8.85,0,8.81,1.06,0,11.16,0,0
 96-106,0,0,0,29.46,8.41,1.39,148.3,3.03,3.52,4.53,41.66,5.54,0,0,5.69,2.46,2.13,3.89,27.79,4.38,121.4,1.13,2.46,4.66,157.54,0.8,0.81,12.48,0,2.88,38.61,3.82,0,0.72,0,7.95,0.62,3.67,1.48,5.31,32.83
108-118,0,0,0.44,55.9,6.84,1.39,200.87,0.56,4.35,12.25,38.89,5.79,0,1.2,8.73,5.73,19.38,8.47,3.47,2.83,189.36,7.28,5.44,17.14,160.54,8.43,0.46,7.55,0,1.97,34.53,0,5.18,1.46,0,4.9,7.55,2.27,6.14,5.81,14.66
120,0,3.01,0,45.06,11.5,0,152.67,2.98,7.71,10.1,41.8,12.82,0,0,22.75,6.53,1.01,9.53,1.42,1.79,175.42,2.64,43.35,13.23,155.71,0,2.92,12.51,0,0,41.63,0,1.22,0,0,7.84,3.31,6.76,29.38,0,2.81
