stage,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,muscle,neural,periderm,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,3.44,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.11,0,1.26,0
 24-34,0,0,0,0,0,0,0.6,0,5.69,0,1.96,1.32
 36-46,0,0,0.86,0,0,0,0,0,2.37,0,2.28,0
 48-58,0,0,4.44,0.58,0,0,2.14,0,0.48,0,0,0
 60-70,0,0,4.74,0.77,0,0,0,0,2.22,0,0,0
 72-82,0,0,0,0,0.53,0,0,0,7.98,1.75,0,0
 84-94,0,0,0,0,0,1.4,0,0,7.72,1.46,0,0
 96-106,0,1.51,6.47,0,2.29,0,0,1.1,1.17,0,0,0
108-118,1.5,1.59,0,0,0,0,0,0,0.81,0,0,0
120,0,0,2.55,0,0,17.04,0,0,3.28,0,0,0
