stage,blastomeres,endocrine.pancreas,eye,fin.mesenchyme,glial,ionocyte,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,56.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.35,0,0,0,0,0,0,23.52,4.48,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,13.24,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,7.62,0.85,2.36,1.3,0,0
 24-34,0,0.8,0,0,1.76,0.59,0,1.71,0.72,6.61,0,0,0,5.27,0
 36-46,0,0,1.87,0,1.01,0,0,2.01,0,5.56,0,0,0,0.8,0.57
 48-58,0,0,2.07,0,2.55,0,0,0.92,0,2.23,0,0,0,0.42,0
 60-70,0,0,0,0,0,0,0,0,0,5.09,0,0,0,0,0
 72-82,0,0,0,0,1.25,0,0.74,0.85,0,4.8,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0,0
108-118,0,0,0,0.93,0,0,0,1.03,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,6.97,0,0,0,0,0
