stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,13.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33,0,48.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.19,0,0,0,0,0,8.56,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,65.09,0,0,0,0,1,0,1.88,0,216.17,0,0,1046.11,0,0,0,0,2.85,128.14,0,0,44.76,9.06,0,0,0,0,1290.49,2.83,0,0,2.99,8.49,0,0,0,0,0
 24-34,0,0,0,51.73,0,0,6.84,0,12.67,0,7.16,0,66.38,4.02,1.2,4615.85,0,1.31,10.99,0,21.74,541.98,0,7.41,243.54,0,1.76,0.83,0,0,1022.32,0,1.43,1.32,1.3,13.1,0,0,7.47,0,0
 36-46,0,0,0,74.74,0,0,14,1.04,40.85,0,5.75,0,3.69,0,2.23,2183.96,0,0,1.59,9.57,7.18,394.33,2.52,4.32,100.97,0,2.24,0,0,0,1489.45,0,15.49,0,0,13.28,0,0,5.57,0,0
 48-58,0,0,0,110.64,0,0,67.67,1.56,47.45,8.21,9.07,0.38,0.46,0.66,0,938.2,0,0,4.43,2,20.47,445.6,0,3.01,235.13,4.71,1.07,0,0,0,1522.54,0,0.57,0,0,25.7,0,0.37,0,0,12.62
 60-70,0,0,0,202.97,0.6,0,147.79,0.59,68.03,0,8.1,0,0,0,0,1610.33,0,0.64,0,0,18.46,707.78,0,5.78,213.95,1.12,1.62,0.59,0,2.69,3236.02,0,0,0,0,23.78,0,0,0,0,8.6
 72-82,0,0,0,207.41,23.2,0,220.78,0,104.7,8.69,27.17,12.37,0,0,10.1,2803.2,0.72,0,2.4,0,39.31,893.85,2.29,6.9,271.32,0,2.86,5.4,0,0,3179.55,0,3.77,1.5,0,26.45,9.03,3.71,12.09,6.09,10.34
 84-94,0.62,0,0,697.38,41.8,0,149.16,2.52,170.25,2.76,22.17,62.07,0,9.63,7.6,5141.24,11.88,7.48,0,5.31,42.8,1646.65,4.52,3.19,336.94,1.4,9.95,3.68,0,4.73,15942.7,0,0,0.83,0,9.55,28.28,2.48,4.64,0,8.15
 96-106,0,0,0,1391.4,68.51,9.51,592.35,7.35,450.6,0,55.36,302.5,1.06,0,41.42,7215.84,5.88,18.86,36.1,3.66,167.75,2367.85,9.68,39.44,823.08,0,19.14,18.57,0,3.99,18648.04,0,0.73,1.17,0,24.52,101.41,2.52,9.6,6.81,25.75
108-118,0,0,2.41,2122.44,31.82,15.93,321.11,1.19,765.67,6.72,66.73,380.86,0,8.39,36.29,7165.15,13.43,73.63,29.76,10.21,133.88,2086.2,5.03,16.09,619.32,1.24,12.23,7.86,0,0,23459.28,0,1.69,3.22,0,17.19,157.61,3.49,27.48,15.23,4.86
120,0,0,0,1283.32,34.36,21.04,118.19,2.34,242.63,17.99,38.82,234.88,0,0,24.89,2772.53,0,9.13,44.07,0,118.71,1210.25,0,3.21,458.99,1.39,5.2,0,0,0,11041.77,0,0,0,0,8.18,104.82,0,0,0,0
