stage,blastomeres,eye,glial,muscle,neural,periderm,spinal.cord
  3-4,14.09,0,0,0,0,0,0
  5-6,16.84,0,0,0,0,0,0
 14-21,0,16.8,0,0,54.47,0,9.89
 24-34,0,6.89,0,0,22.45,0.65,0
 36-46,0,2.38,9.29,0,61.71,0,4.03
 48-58,0,1.03,2.68,0.78,17.3,0,1.2
 60-70,0,4.42,0,0,3.37,0,0
 72-82,0,0.69,0,0,1.17,0,0
