stage,epidermis,eye,fast.muscle,gut,immune,mesenchyme,mucous,mural.cell,neural,periderm,pronephros,vasculature
 14-21,0,0,0,0,3.35,0,0,0,0,0,0,0
 24-34,0,0,0,0,7.62,0,0,0,2.91,0,0,0
 36-46,0,0,0,0,8.87,0,0.88,0,1.22,0,0,0
 48-58,0,0.74,0,0,17.07,1.04,0,0,0.82,0,0,0.8
 60-70,0,10.6,0,0,32.19,0,0,0,3.86,0,0,0
 72-82,0,0,0,0,38.46,0,0,6.32,3.26,0,2,0
 84-94,0,0,0,2.03,37.28,0,0,0,11.59,1.53,0,0
 96-106,0,0,0,0,44.38,0,0,0,2.71,0,0,0.88
108-118,0.42,0,0.46,0,56.4,0,0,0,0,0,0,4.47
120,0,0,0,1,27.78,0,0,0,22.61,0,0,35.15
