stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,2.92,1.02,2.74,0,1.08,1.5,0.83,0,4.68,44.22,0.85,0,0,1.61,7.39,7.78,0,0
 24-34,0.6,1.39,0.66,5.86,0,1.23,0,3.37,0,1,44.87,0,0,0,0,1.93,14.26,0,3.79
 36-46,0,0,0,5.01,0,1.68,0,2.52,0,0.75,37.48,0,0,0,0,0,6.07,0,0
 48-58,0,1.01,0,4.16,0,3.47,0,7.15,0,0.48,20.03,0,0,0,0,0,0.44,0,0.49
 60-70,0,0,0,2.13,0,1.97,0,0.62,0,0,12.76,0,0,0.6,0,0,4.84,0,0
 72-82,0,0,0,0,2.43,2.31,0,2.48,0,0,5.4,0,1.7,0,0,0,0,1.01,0
 84-94,0,0,0,0,0,0,0,1.86,0.7,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.14,0,0,0,0,0,1.2,0,0,0,0,0
108-118,0,0,4.07,0,0,4.72,0,0,0,0,1.56,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,3.75,0,0,3.16,0,0,0,0,0,0,0,0
