stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,6.53,202.37,23.38,0,26.47,0,6.06,0,5.13,8.05,241.98,5.45,0,4.75,0,0,0.86,0,32.76,0.9,0,23.89,364.1,8.9,0,9.49,5.61,0,97.35,0,26.08,3.34,4.16,40.79,121.19,0,0,7.44,0,3.62
 24-34,0,2.78,113.64,7.01,0,77.38,0,14.58,2.48,28.78,1.31,51.51,8.14,3.41,18.49,0,8.74,18.51,3.93,88.89,45.58,0,35.71,750.39,13.91,2.97,14.74,0,6.95,147.06,0,0,9.61,0,9.46,169.13,0,0,75.04,0,4.88
 36-46,0,1.29,89.27,0,0,75.98,0,14.09,6.72,77.9,7.5,13.15,5.16,10.91,12.64,1.76,8.08,10.45,58.09,99.98,80.69,9.14,23.61,464.57,2.27,9.01,5.26,0,0,155.54,0,0,9.91,1.02,0,176.49,0,0,31.08,0,20.01
 48-58,0,0.86,88.17,7.53,0,208.87,0,19.5,18.72,135.14,9.41,10.7,4.8,25.36,31.14,2.47,3.79,9.9,16.46,181.47,80.22,9.19,23.56,307.86,8.32,4.17,7.69,0,1.15,128.98,0,0,9.07,0,0,134.1,0,1.79,39.71,0,36.1
 60-70,1.88,1.53,59.75,15.95,0,689.35,0.81,30.35,25.91,190.05,35.73,5.05,6.61,16.2,9.09,6.59,3.63,14.31,21.27,270.26,71.5,12.34,27.56,233.58,6.45,7.48,24.96,0,0,208.14,0,0,16.29,0,0,45.29,0,7.5,40.64,3.35,14.24
 72-82,20.26,0.64,66.4,29.67,0,1226.53,1.69,13.05,25.47,261.23,70.9,7.72,6.95,28.56,21.97,2.74,18.09,0,5.36,433.37,153.8,23.71,29.13,277.49,7.27,13.1,19.88,0,10.41,120.85,1.65,0,9.43,0.53,0,20.93,10.86,10.55,63.07,8.77,37.66
 84-94,16.31,1.04,126.93,57.21,0,761.93,0,29.48,12.53,155.06,137.54,9.05,5.14,45.1,20.76,9.3,7.2,2.63,23.29,349.91,135.16,6.3,15.53,129.95,16.78,1.5,29.67,0,4.93,320.59,1.4,0,26.98,0,0,10.43,6.95,5.15,56.67,9.16,18.87
 96-106,12.27,0.86,117.12,60.5,2.87,801.02,0.71,48.11,14.62,187.29,201.38,3.44,7.11,53.62,23.16,12.37,12.95,26.31,7.64,286.74,187.94,15.8,9.63,188.67,7.33,19.44,14.25,0,6.71,280.11,0,0,7.86,0.68,0,22.49,24.77,7.82,42.46,18.53,8.5
108-118,14.35,5.08,142.12,20.31,5.86,567.69,0.58,35.05,8.69,148.06,245.18,0,12.56,39.29,20.67,13.45,10.56,15.7,8.41,290.06,189.85,33.17,12.36,202.36,6.19,7.62,33.13,0,13.23,242.66,0,0,8.01,0.47,0,11.31,7.3,3.76,51.98,10,4.07
120,8.23,2.55,173.27,17.05,2.02,385.89,2.85,39.8,8.13,100.68,207.02,0,11.23,65.01,8.51,12.82,12.99,12.71,4.88,228.71,41.05,10.3,21,321.4,11.54,5.02,16.74,0,10.56,200.14,0,0,1.21,1.22,0,3.65,22.64,36.79,28.61,5.05,3.14
