stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,18.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,94.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.49,0,0,0,0,0,0,0,0,0,0
  7-9,115.34,1040.86,0,159.73,0,0,102.78,0,0,0,0,0,53.8,0,0,0,0,0,0,0,0,0,0,0,28118.96,832.37,0,0,7404.99,0,58.01,6.94,0,0,0,0,0,0,0,0,0
 10-12,0,878.65,0,1573.42,0,19.15,162.85,0,0,0,0,0,47.39,0,0,0,0,0,0,0,0,0,0,0,28518.97,1886.71,0,0,12673.88,0,9.97,0,42.82,695.57,0,39.8,189.85,0,0,0,0
 14-21,0.89,5.24,0,516.44,2911.02,113.08,17.97,0,3.8,0,814.32,95.59,8.07,2.1,0,19.09,0,2.98,57.27,3.04,1298.44,4.24,0,1093.4,4012.41,927.27,1.12,10.17,331.18,0,189.44,1.54,1585.98,151.43,89.29,938.01,8158.98,0,58.72,0,0
 24-34,0,0,0,88.05,396.84,10.87,34.41,0.69,6.13,4.11,442.15,9.64,0,0,0,1.75,1.31,38.3,53.3,0,640.26,4.58,5.78,366.61,2188.19,23.13,2.67,4.73,10.77,0,240.39,0,3.86,28.39,3.67,76.37,4353.43,0,169.14,0,0
 36-46,0,0,0,8.38,80.28,2.03,23.29,10.72,7.12,14.63,304.46,13.11,0,0,0,0,0.61,41.92,1.35,0.61,479.15,0,22.17,220.61,1513.01,15.41,2.84,0.83,0,0,189.3,0.68,0,17.78,0.62,3.89,3718.25,0,37.45,0,0.57
 48-58,0,0,0,0.42,30.5,0,97.83,5.03,5.41,32.18,223.13,7.93,0,0,0.85,0,0.4,21.56,3.77,0.56,366.45,6.26,19.92,132.88,1486.66,21,0.84,1.22,13.27,2.59,85.49,0,0,4.35,10.91,0,2547.31,0.42,9.48,0.5,6.63
 60-70,0,0,1.23,2.79,8.71,0,29.77,2.29,3.75,17.17,176.34,12.47,0,7.39,0,0,0.67,2.57,0.78,0,271.12,0,23.32,72.3,813.22,19.24,0,0,0,0,81.68,0,0,16.94,0,0,1081.5,5.83,13.05,1.49,2.21
 72-82,0,0,5.66,0,21.77,1.94,87.62,3.02,3.81,26.37,313.75,8.55,0,2.21,0.59,0,0,14.27,1.61,8.93,270.36,5.11,32.55,88.06,680.69,6.34,0,0,0,1.4,39.59,0,0,4.23,0,0,767.71,6.66,13.28,4.48,15.75
 84-94,0,0,2.33,0,14.89,0,97.3,4.16,6.21,14.75,263.6,26.61,0,0,0.91,2.16,0,17.57,0,3.09,215.24,9.3,15.09,71.48,472.52,10.31,0,1.22,0,0,123.72,0,0,2.92,0.64,0,510.97,22.48,16.33,13.16,12.27
 96-106,0,0,4.66,0,18.35,3.17,50.06,3.76,4.35,18.09,198.09,22.29,0,0,1.8,1.86,0,17.65,0,0,196.12,0.71,21.3,23.31,422.71,2.02,0,2.07,1.2,5.04,66.22,0,0,2.73,2.35,0,228.5,17.08,7.26,16.66,1.91
108-118,0,0,3.04,0,13.5,1.72,28.9,5.23,2.63,39.01,224.56,14.94,0,0,0.59,1.49,2.38,5.57,3,1.67,284.04,0.42,30.09,52.65,481.33,17.07,4,1.83,0,14.32,62.26,0,0,5.66,0.41,0,155.18,13.56,6.27,19.29,0.85
120,0,0,0,0,9.97,0,28.44,0,6.31,17.3,305.15,24.92,0,0,1.18,0,0,0,9.76,0,219.05,0,56.2,36.59,407.61,19.25,0,0,0,1.79,78.48,0,0,2.68,4.42,0,92.27,13.3,0,20,0
