stage,axial,blastomeres,glial,paraxial.mesoderm,spinal.cord
  5-6,0,7.82,0,9.43,0
  7-9,6.74,0,0,0,0
 14-21,0,0,1.26,0,2.03
 72-82,0,0,0,0,4.95
108-118,0,0,0,0,0.98
