stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,9.67,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,34.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,18.28,4.49,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57,0,0,6.91,0,0,0,0,0
 14-21,0,0,0,4.34,0,0,0,0,0,30.42,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.74,5.18,0,0,0,0,0,93.16,0,0,0,0,0,0,0,0,0,0,0,1.3,0
 36-46,0,0,0,0,0,0,0,0,0,136.4,0,0,0.98,0,0,0,0,0,0,0.61,0,8.66,0
 48-58,0,0,0,0,0,2.31,0,0.44,0,163.04,0,0,4.53,0,3.59,0,0,0,0,1.27,0,1.72,0
 60-70,0,0,0,0,0,2.39,0,0,0,143.84,0,0,5.29,0,3.54,0,0.98,0,0,0,0,3.7,0
 72-82,0,0,0,1.45,0,4.36,0,0,0,130.85,0,0,4.58,0,3.29,0,2.26,0,0,0,0,7,1.14
 84-94,0,0,0.63,0,0,3.59,0,0,0,195.09,0,0,4.89,0,2.55,0,0,0,2.34,0,0.86,6.53,0
 96-106,0,0,0,0,0,5.72,0,0,0,217.84,0.74,11.25,4.68,0,12.61,0,1.79,0,0,0,0.69,12.62,0.61
108-118,0,0,0,2.21,0.72,2.39,0,0,1.31,201.15,0,0,0.62,0.86,11.1,0,0,0,0,0,0,6.68,0
120,0,0,0,14.25,0,11.39,1.33,0,7.96,273.88,0,0,0,0,29.75,3.25,0,0,0,0,0,6.12,0
