stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste
  3-4,0,51.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.17,32.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.84,4.72,0,0,12.51,0,0,0,4.35,0,0,0,0,0,0,0,0,66.92,3.62,0,0,28.63,0,0,0,0,0,0
 10-12,0,0,0,0,8.02,7.98,0,0,0,0,0,0,0,0,0,0,0,0,43.82,0,0,0,19.85,0,0,0,0,0,0
 14-21,0,0,0,0.84,0,1.14,0,1.85,0,0,0,0,0.86,0,0,0.88,0,0,7.66,1.13,0,0.94,0,0,1.52,0,3.98,3.85,0
 24-34,0,0,0,0,0,1.41,0,0,0,0,0.92,0,0,0,0,0,0,1.77,20.63,0,0,0,0,1.38,1.58,2.41,0,5.82,0
 36-46,0,0,0,0,0,1.29,0,0,0,0,0,0,0,1.36,0.89,1.8,0,0.62,24.1,0,0,0,0,0,0,0,0,9.08,0
 48-58,0,0,0,0,0,3.96,0,0.57,0,0,0,0,0.38,0,0,0.46,0,0,11.68,0,0,0,0,0.47,0,0.46,0,0.4,0
 60-70,0,0,0,0,0,3.24,4.06,0,0,0,0,0,0,0,0,2.07,0,1.27,8.17,2.55,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.86,0.5,0.7,0,0,0,0,0,0,0,1.02,0,0,19.98,0,1.78,0,0,0.52,0,0,0,3.9,0
 84-94,0,0,0,0,0,8.69,0,0,0,0,0,0,0,0,0,7.03,0.83,0,11.39,0,0,0,0,2.26,0,0,0,3.15,0
 96-106,0,0,0,0.58,0,3.05,0,2.69,0,0,0,0,0,0,0,0.7,0.68,0.64,4.06,0,0,0,0,1.82,0,0,0,1.89,0.82
108-118,0,0,0,0,0.8,7.03,0,1.92,0.43,0,0,0.75,0,0,0,0,0,0.41,16.87,0,1.42,0,0,2.34,0,0,0,0,0
120,0,0,0,2.2,0,8.99,0,0,0,0,0,0,0,0,0,2.19,0,0,4.08,0,0,0,0,0,0,0,0,0,0
