stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,164.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.66,0,0,0,0,0,0,0
  5-6,73.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1,0,0,0,0,0,0,0
  7-9,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.45,0,0,55.33,0,0,0,0,0,0,0,0,0
 10-12,0,0,7.46,0,0,0,0,0,0,0,7.26,0,0,0,0,0,0,0,0,0,74.59,14.66,0,10.64,0,0,7.44,0,0,0,0,0,0
 14-21,0,0,3.04,3.6,4.91,0,4.01,0,0,3.88,0,0,9.07,0,0,0,3.74,0,0,3.99,16.07,24.51,0,0,0,9.81,10.6,70.65,0,0,0,0,0
 24-34,0,0,14.89,0,1.01,0,0,0,0,7.67,0,1.47,52.69,0,0,2.46,3.6,0,0,15.51,29.55,0,0,0,0,0.82,10.58,39.55,0,0,0.73,0,0
 36-46,0,0,0.75,0,0,0,1.44,1.14,0,9.79,0,0,61.67,0,0,4.38,1.28,0,0,12.77,15.92,0,0,0,0,0,17.7,29.6,0,0,0,0,0
 48-58,0,0,1.98,1.87,0,0,2.28,0,1.9,6.93,0,1.36,71.7,0,0,11.3,13.38,0,0,8.11,12.26,0,0,0,0,0,4.2,38.63,0,0,0.93,0,0.93
 60-70,0,0,0,1.27,0,0,2.65,0,3.52,6.92,0,0,97.89,0.75,0,3.16,6.82,0,0.63,1.89,19.79,0,0,0,1.54,0,2.12,6.09,0,0,0,0,0
 72-82,0,8.04,0.56,4.56,19.1,0,2.52,0,5.18,18.79,0,0,69.25,1.3,0,18.98,10.78,0,8.57,3.2,25.37,0,0,0,4.13,1.92,5.8,8.06,1.62,0.67,8.04,0,0
 84-94,0,5.86,0,5.04,0,3.04,10.71,0,4.84,32.13,0,1.16,89.45,4.45,0,15.12,15.14,0,8.23,1.92,8.9,0,0.83,0,5.29,0,7.95,8.98,4.91,0,1.07,0,0
 96-106,0,1.04,0.65,0,0,0,1.4,0,2.85,36.54,0,3.96,86.36,2.18,0,20.7,33.25,1.38,3.88,1.18,40.02,0,0,0,2.91,1.44,2.28,8.61,21.66,3.95,2.38,3.01,0
108-118,0,4.72,3.06,0.96,0,1.78,20.2,4.13,4.06,35.58,0,0.88,98.32,3.07,0.43,29.13,17.83,1.61,3.69,1.79,26.75,0,0,0,10.21,0,7.59,1.26,18.36,3.02,5.39,0.6,0
120,0,2.94,0,0,0,0,2.59,3.09,15.08,31.41,0,10.06,118.25,1.07,0,29.99,33.57,0,8.85,1.9,34.52,0,1.86,0,34.74,0,12.9,0,4.67,7.36,0,3.21,0
