stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.56,5.95,0,0,0,10.21,0,0,0,0,0,11.67,0,0,0,0,0,0,0,0,0,0,0,132.64,0,0,0,57.38,0,0,0,0,0,0,3.28,0,0,0,0,0
 14-21,0,0,0,10,6.5,0,3.78,0,0,0,67.88,0,5.73,2.36,0,0,0,0,0,0,7.5,0,0,1.93,71.61,1.71,0,0.81,4.49,0,2.35,9.61,0,39.88,0.89,250.12,0,0,4,0,0
 24-34,0,0,0,10.54,0,0,8.7,0,0.61,0,308.52,0,0,2.03,0,0,0,0,0,0,19.76,0,0,13.63,238.35,5.3,0,1.5,0,0,0,0,0.79,8.67,7.57,444.9,0,0,68.67,0,7.43
 36-46,0,0,0,7.81,0,0,32.6,0,0,0,284.47,0,0,4.06,0,0,0.8,0,0,0,23.78,0.72,0,17.93,234.58,1.12,0.6,0,0,0,2.85,0,0,6.79,0,384.37,0,0,47.84,0,0
 48-58,0.58,0,0,11.25,0,0,52.59,0,4.76,0.44,332.4,0.49,0.37,12.02,3.69,0,2.76,0,0,0,48.12,0,5.12,5.66,201.51,21.26,0.78,0.54,0,0,3.41,0,0,0.59,0,340.86,0,0.61,64.97,0,0
 60-70,0,0,0,22.55,0,0,34.95,0,10.41,1.23,513.99,0.62,0,7.22,1.06,0.8,1.75,1.52,0,0,99.4,3.43,7.39,7.81,232.43,10.35,0,4.03,0,0.66,0,0,0,0.67,0,119.9,0,7.14,48.68,11.24,1.94
 72-82,0,0,0.75,22.16,2.71,0,74.2,2.07,10.46,1.98,756.43,0,0,12.5,2.93,2.36,7.8,0,3.69,0,288.04,1.27,11.88,18.13,229.81,4.21,0,8.08,0,1.61,0,0,3.69,0,0,98.55,0,20.05,116.01,21.51,7.86
 84-94,0,0,0,64.31,0,0,51.23,1.34,19.46,3.66,451.12,0.57,0,0.8,0.79,0.61,6.06,0,0,0,171.3,3.54,14.54,8.14,170.18,12.86,3.33,0.94,0,5.89,0.91,0,3.14,0,0,105.17,0,13.69,121.74,35.76,6.19
 96-106,0,0,0,74.58,7,0,78.35,0.87,43.43,1.06,629.66,1.35,0,29.13,0.75,2.03,18.21,2.51,8.77,0,267.73,8.4,11.59,9.49,236.83,7.3,4.42,17.14,0,3.05,2.87,0,1.33,0.64,0,74.16,0,23.71,128.07,72.09,3.23
108-118,0,0,0.45,101.99,2.83,1.11,43.12,0.46,34.35,15.33,661.18,2.66,0,5.74,0.92,5.41,16.74,0,1.88,1.99,335.9,2.36,10.26,13.09,226.87,8.45,7.99,24.12,0,6.95,3.15,0,2.22,0,0,51.41,1.06,23.62,74.86,88.24,2.46
120,0,0,0,53.26,2.93,0,41.88,6.51,28,0,933.1,0,0,10.12,5.66,7.01,43.35,0,7.57,0,247.88,0,32.55,0,228.1,21.75,1.06,2.52,0,0,5.99,0,0,0,0,58.81,0,20.61,147.16,53.68,0
