stage,epidermis,eye,glial,lateral.line,mesenchyme,neural,notochord,olfactory,periderm,spinal.cord,vascular.smooth.muscle
  7-9,0,0,0,0,0,4.25,0,0,0,0,0
 10-12,0,0,0,0,0,10.37,0,0,0,0,0
 36-46,0,0,0,0,0,3.31,0,0,0,0,0
 48-58,0,0,0,5.43,0,98.34,0,0,0,0,0
 60-70,0,0,0,0,0,130.37,0,0,0,1.24,0
 72-82,0,6.08,0,1.33,0.57,216.04,0.61,0,0,1.77,0
 84-94,0,0.71,12.74,0.87,0,6.01,0,3.69,0,0,0.88
 96-106,0,3.58,0,0,0,93.81,0,7.71,1.27,0,0
108-118,1.8,0,0,0,0,177.52,0,4.97,0.65,0,0
120,0,0,0,0,0,58.49,0,1.15,0,8.23,0
