stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,35.61,985.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.03,0,0,0,0,0,0,0,0,0,0
  5-6,0,412.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.1,0,0,0,0,17.32,0,0,0,0,0,0,0,0,0,0
  7-9,6.67,15.51,0,10.38,0,0,0,84.07,0,0,0,0,0,16.37,0,0,0,0,0,0,0,0,0,0,0,374.12,0,0,0,80.34,51.18,0,0,0,0,0,0,0,0,0,0
 10-12,0,43.7,0,27.29,0,0,0,79.05,0,0,0,0,0,12.77,0,0,0,0,0,0,0,0,0,0,0,842.46,26.48,0,0,123.05,98.12,0,24.46,0,0,3.51,0,0,0,0,0
 14-21,0,0,0,12.44,56.62,5.59,0,46.73,0,0,0,8.3,8.83,1.93,0,0,1.85,0,0,0,5.27,25.14,2.93,0,22.05,561.7,4.22,0,0,8.3,1350.54,14.37,4.47,2.75,27.59,177.58,0,0,10.7,0,2.91
 24-34,0,0,0,3.33,13.34,0,0,40.52,0,1.9,0,9.11,1.6,0.73,0.62,2.43,5.12,0,0,16.67,9.51,33.93,11.84,0,9.18,436.2,0,9.56,4.67,0,2163.45,0,2.53,0,0.98,136.6,0,0,43.12,0,1.4
 36-46,0,0,0,0,11.91,0.58,0,71.64,0,5.06,1.26,18.23,0.56,0,0,0,0.66,0,0,6.58,8.46,19.74,13.37,0,6.14,535.72,0.56,0,0,0,2087.14,0,2.76,0,0,190.09,0,0,10.86,0,15.52
 48-58,0,0,0,0.45,21.24,7.16,0,178.48,0,15.13,0,35.18,5.75,0,0,1.54,0.52,1.5,0.44,2.77,16.85,15.03,8.82,0,2.86,1036.08,0,5.75,0.81,0,1376.06,0,0,0,0,256.39,0,0,7.64,0,18.28
 60-70,0,0,1.32,0,22.88,0,0,215.33,0,17.61,0.7,104.78,19.88,0,0.78,0,7.95,23.14,2.21,0,2.15,22.48,4.63,0,4.23,1630.22,0,3.27,0,0,1180.76,0,1.32,0,0,278.83,0,0,22.52,0,26.59
 72-82,0,0,2.71,0,52.62,5.59,0,179.7,0,20.38,1.03,223.66,18.66,0,0.66,0,7.76,4.22,1.16,2.82,3.31,47.26,8.34,2,3.05,1472.37,2.3,2.36,1.11,0,1272.66,0,0.73,0,0,255.29,4.23,0.52,13.58,3.65,36.59
 84-94,0,0,6.04,0,106.55,18.12,0,149.32,9.11,69.03,1.31,166.25,29.84,0,0,0,31.37,11.42,0.66,8.17,8.44,20.77,18.83,3.46,5.37,979.81,0,2.97,0,0,3366.93,0,0,1.24,0,141.71,0.66,2.87,15.36,1.34,21.71
 96-106,0,0,6.79,0,132.21,13.99,0,127.32,0,84.61,0.82,183.09,44.85,0,0.78,2.75,39.97,11.27,3.89,5.25,13.89,33.4,29.45,0.68,0.81,823.12,0.85,12.64,5.7,0,3450.21,0,1.96,0,0,152.04,2.87,0,23.55,3.28,19.65
108-118,0,0,2.69,0.44,165.28,11.11,5.91,141.92,0,102.81,2.31,250.34,49.88,0,1.49,0.5,37.23,22.6,3.24,1.34,15.19,43.59,34.91,1.77,4.71,1245.82,0.77,15.42,10.45,0,2746.74,0,1.18,0.49,0,84.66,4.09,0,9.22,9.54,16.3
120,0,0,6.16,0,102.89,0,0,99.48,0,66.01,2.36,279.3,43.94,0,0,5.99,21.34,14.47,6.64,0,1.6,39.8,9.11,0,6.19,1303.35,0,0,1.66,0,1322.29,0,5.62,0,0,38.62,1.27,0,5.89,0,7.24
