stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.85,0,0,5.03,0,0,0,0,0,0,0,0,0,0,0,0,56.2,0,0,0,8.86,0,0,0,0,0,5.88,0,0,0,0,0
 14-21,0,1.24,0,1.19,0,3.43,0,0,1.18,0,0,0,0,0,0,0,0,0,16.41,0,0,0,0,0,0,1.37,0.94,13.36,7.17,14.36,0,0,0,0
 24-34,0,0,0,0,0,1.54,0,0,0.67,0.73,0,0,0,0,0,0.6,0,0,65.06,0,0.77,0,0,0,0.61,0,0,2.76,1.27,25.75,0,0,0,0
 36-46,0,0,0,0,0,2.85,0,0,4.17,0,0,0,0,0,0,0.59,0,1.25,284.22,0,0,0,0,0,0,0,0,0,0,20.13,0,0,0,0
 48-58,0,0,0,1.02,0,9.63,0.58,0,5.66,0,0,0,3.42,0,0,5.38,0,1.27,351.16,0,1.07,0,0,0,3.43,0,0,0,0,23.85,0,0,0,0
 60-70,0,0,0,14.47,0,42.98,2.57,0,45.7,0,0,0,0,0,0,11.73,0,0.67,1032.45,0,0,0.69,0,0,0,0,1.95,0,0,52.12,0,0,0.61,0
 72-82,0,0,0,0,0,110.73,0,5.99,38.4,0,0,0,0,0,0,24.67,4.11,2.73,849.71,0,0,1.25,0,0,0,0,0,0,0,36.51,6.18,0,1.64,8.18
 84-94,0,0.66,0,0,4.61,71.76,1.66,0,53.54,2.78,0,0,0.73,0.66,0,27.62,4.01,0.75,668.97,0,0,0,0,0,0,0,0.7,0,0,58.82,0.77,0,3.37,1.5
 96-106,0,0,0,1.76,0,87.92,0,0,26.34,0,1.87,0,3.77,0,0.68,15.67,5.22,0,560.56,0,0,2.01,0,2.45,2.39,0,0,0,0,11.33,2.38,1.45,5.67,0
108-118,0,0.89,0,2.15,0,95.14,0.64,0,53.71,0,0.49,0,0,0,0,19.2,1.7,2.72,924.91,0,0.51,0,0,1,0,0,0,0,0,29.14,0,0,6.88,0
120,0,0,0,3.24,0,168.19,0,0,55.95,0,0,1.17,0,0,0,21.81,14.87,12.28,1518.09,3.33,0,9.06,0,0,0,0,0,0,0,45.14,0,0,21.46,0
