stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.15,0,0,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4.83,0,0.9,0,0,0,0,0,9.12,0,0,0,0,0,0,0,0.96,0,0,1.56,30.78,0.84,0,0,0,0,7.2,5.4,1.28,0.95,7.63,23.31,0,0,1.07,0,0
 24-34,0,2.7,0,8.67,0,0,0,0,0,0,2.16,0,0,0,2.07,0,0,8.64,0,0,6.77,197.27,0.6,5.75,2.32,0,0,9.29,2.71,2.13,2.4,1.35,46.82,0,0,6.45,0,0
 36-46,0,19.57,2.56,39.37,0,0.88,0,2.91,0,0,0,0,6.93,0,0,0,1.24,24.63,0.87,1.32,3.02,209.51,0,0,0.74,0,0,15.86,0,0,9.31,0,24.92,0,0,0.81,0,0
 48-58,0,8.49,0,81.29,4.57,1.26,1.35,10.4,0,4.42,0,0.45,0,0,0,0,0.51,12.09,0,0,6.78,213.33,0.58,0.79,3.57,0,0,25.29,0,0,3.92,0,29.37,0,0,0.87,0,0.72
 60-70,0,23.56,0,113.7,0.65,6.2,0,3.34,1.57,0,0.7,0,6.94,7.95,0.79,1.06,6.05,31.99,0.62,1.82,3.38,344.67,12,1.15,5.97,0,0.84,44.12,0,0.63,6.72,0,39.71,2.18,0,3.32,0,8.15
 72-82,0,10.76,7.35,131.68,4.91,2.51,0,17,1.43,0,0.81,0.53,0,0,3.54,0.78,0,41.73,0,2.35,6.24,211.41,0,2.02,5.39,0,0,3.49,0,0,0,0,11.13,1.16,0.85,5.91,1.37,0
 84-94,0,5.34,6.49,48.13,0,0,2.07,5.81,3.02,0,0,0,2.07,8.71,0,0.57,0,20.84,0,0,5.69,86.64,0,1.86,2.58,3.85,0,6.24,0,0,0,0,8.06,0,0,1.34,0,9.51
 96-106,0,0.75,2.72,23.7,0,0.84,2.8,4.4,0.62,0,0.88,3.1,0,0,0,0,0,13.83,0,0,0,36.81,0,0,3.43,0,0,1.39,0,0,0,0,3.79,0,2.16,3.21,0,0
108-118,0,5.28,3.27,25.66,0.78,0,0,3.76,0,0,0,2.77,0,0.89,0.89,0.44,0,13.92,0.77,10.6,0,105.06,0,0,1.84,0,0,3.46,0,0.47,0,0,2.44,0.6,0.53,2.73,0,0
120,0,13.87,1.63,95.2,14.88,3.58,6.63,10.76,0,0,0,4.36,9.63,3.65,2.85,5.7,0,17.83,0,0,2.2,242.43,0,0,0,0,0,19.35,0,0,0,0,10.98,0,1.52,5.48,0,0
