stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord
  3-4,0,23.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.4,8.23,0,0,0,0,0,0,0,0,0,0,9.31,0,0,6.32,0,0,0,0
  7-9,0,0,4.55,0,0,0,0,0,5.92,0,0,0,40.35,0,10.26,0,4.77,0,0,0
 10-12,0,3.32,0,0,0,3.32,0,0,0,0,0,0,48.39,0,19.66,0,0,0,0,0
 14-21,0,0,0,0,0,4.98,0,0,0,3.93,0,0,9.38,0,0,0,0,0,0.85,2.71
 24-34,0,0,0,0.93,0,5.1,0,0,0,1.63,0.89,0,25.01,0,0,0,0,0,0,8.08
 36-46,0,0,0,0,0,2.86,0.65,0,0,0.7,0,0.56,19.82,0,0,10.24,0,0,0,7.17
 48-58,0,0,0,0,0,7.23,0.4,0,0,1.63,0,0,26.11,0,0,0,0,0,0,3.61
 60-70,0,0,0,0,0,8.59,1.44,0,0,1.36,0,0,6.68,0,0,5.04,0,0,0,0
 72-82,0,0,0,0,0,0,3.81,0,0,1.61,0,0,4.13,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.02,0,0,0,1.19,0,0,5.08,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,11.66,0.75,0,0,1.68,0,0,0.96,0.63,0,0.83,0,0,0,0
108-118,0,0,0,0,0.69,0.49,0,0.57,0,0,0,0,1.74,0,0,0,0,0.87,0,0
120,0,0,0,1.48,0,0,15.53,0,0,0,0,0,22.02,0,0,0,0,0,0,0
