stage,erythrocytes,eye,fin.epithelia,glial,heart,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,somites,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,4.38,0,0,0,0,0
 14-21,0.95,0,0,0,0,2.86,0,2.39,3.28,0,0,0.88,0,0
 24-34,0,0,0,0,1.21,6.62,0,3.08,0.63,0,0,0,1.18,0.89
 36-46,0,0,0,0,0,5.25,0,0,0,0,5.71,0,1.6,0
 48-58,0,1.56,1.55,0,0,2.15,0,0,0.84,0,0,0,0,0
 60-70,0,8.81,0,0,0,1.97,0,0,5.73,0,2.92,0,0,0.59
 72-82,0,1,0,0.7,0,0,0.87,0,0,0,0,0,0,0
 84-94,0,0.58,0,0,0,0,0,1.47,4.97,0.91,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,5.91,0,0,0,0,0
108-118,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0
120,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0
