stage,axial,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,9.65,70.4,0,0,0,0,0,0,13.99,0,0
  5-6,15.19,154.45,0,0,0,0,0,0,0,0,0
  7-9,35.11,4.87,6.6,0,0,58.56,44.08,78.02,0,0,0
 10-12,0,0,0,10.38,0,13.67,0,54.89,0,0,0
 14-21,0,0,0,0,0.9,0,0,4.95,0,6.52,0
 24-34,0,0,0,0,0,0,0,0,0,0,4.13
