stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,216.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0
  5-6,8.36,176.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.95,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.28,0,0,0,0,0,0,0,0,0,27.56,0,0,0,0,0,0,0,0,0,5.73,0,0,6.79,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,72.24,0,0,0,0,0,0,0,0,0,13.56,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.91,1.7,1.53,0,2.95,0,0,0,0,0,9.8,0,8.89,0,0,13.82,0,0,0,1.01,3.05,0,0,0,9.93,1.23,0,0,2.27,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42,0,0,1.48,1.33,0,0,0,1.78,0,0,0,2.96,0,0,0.61,0.68,0,0,0
 36-46,0,0,0,0,9.44,0,0,1.01,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,10.69,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.25,0,0,0.58,0,0,0,0,0.98,0,0,2.08,0,0,9.28,0,0,0,0,9.41,0,0,0,1.27,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.65,0,0,0.67,0,0,0,2.79,3.41,0.78,0,0,0,0,4.3,0,0,0,0,12.77,1.12,0,0,3.85,0,0,0,1.4,0,0.96,0
 72-82,0,0,0.78,0,0.88,0,0,5.69,0,3.27,0,4.14,21.62,0,1.18,1.86,6.84,0,1.95,0.73,0.73,0.72,0.6,36.63,0,0,0,4.57,0,0.66,0,7.94,0,0,0
 84-94,0,0,1.23,0,8.47,0,0,15.32,0,0,0,7.36,53.47,0,0.58,1.3,7.37,0,5.9,0.8,0,6.18,0,36.25,0,0,0,19.2,0,0,0,0,1.23,0,0
 96-106,0,0,2.33,0,4.58,0,0,2.19,0.67,0,0,9.79,80.11,0,3.1,5.22,26.57,1.15,6.68,5.87,2.42,1.16,2.43,14.8,2.23,0,0,14.58,0,0,0,0,0.59,0,0
108-118,0,0,0,0.74,11.97,0.41,2.78,9.67,0,1.35,0,8.26,87.78,0,1.45,7.07,55.75,6.46,5.17,8.38,0,4.56,0,28.77,2.61,0.64,0,29.83,0,2.77,0,0,7.03,0,0.84
120,0,0,3.99,0,20.09,1.38,1.6,4.14,0,0,8.81,27.51,61.05,0,3.47,2.19,71.89,0,11.91,17.45,0,0,0,0,0,11.4,0,72.93,0,0,0,5.78,6.05,0,0
