stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,neural,olfactory,paraxial.mesoderm,periderm,pronephros,taste,xanthophores
  3-4,0,64.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.01,0,0,0
  5-6,0,71.69,0,0,0,0,0,0,0,0,0,0,0,0,0,19.33,0,0,793.37,0,0,0
  7-9,3.97,0,0,0,0,14.14,0,0,0,0,0,0,0,0,0,94.41,0,7.45,251.04,0,0,0
 10-12,0,0,9.96,0,0,0,0,0,0,0,0,0,0,0,0,18.74,0,4.89,20.81,0,0,0
 14-21,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,14.48,0.82,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0,5.73,1.72,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.17,0,0,1.89,0,0,0
 48-58,0,0,0,0.41,0,0.46,0,0,0,0,0,0.97,0,0,0,11.04,2.12,0,11.66,0,0,0
 60-70,0,0,0,1.58,0,0.71,0,0,0,0,1.42,0.58,0.63,0,0,5.58,0,0,19.98,0,0,0
 72-82,0,0,0,3.21,0,2.21,0,0,0,0.93,0,0.54,0,0.79,0,17.14,0,0,7.39,0,0,0
 84-94,0,0,0,9.52,3.18,0,0,0,0.75,0,0,0.55,1.23,0,0,0,1.84,0,18.33,0,0,0
 96-106,0,0,0,6.86,0,0,0,1.18,0,0,0,5.48,0,0,0.81,4.75,1.25,0,15.12,0.73,0,3.79
108-118,0,0,0,21.96,0,0,0.67,0,0.42,0,0,2.48,0,0,0,5.09,5.43,0,18.51,0,0.68,0
120,0,0,0,15.69,0,0,0,0,6.22,0,0,2.94,0,0,0,4.03,0,0,32.37,0,0,0
