stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,immune,iridophores,mesenchyme,neural,otic,paraxial_mesoderm,pericytes,spinal_cord
  3-4,34.85,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.49,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.94,0,0
 10-12,0,7.74,0,0,0,0,0,0,0,7.05,0,0,0,0
 24-34,0,0,0,0,0,0,1.63,0,0,2.95,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.73,0,0,0,0.57
 48-58,0,0,0,0.43,0.49,0,1.9,0.4,0,4.75,0,0,0,1.13
 60-70,0,0,0,3.98,0,0,2.81,0,0,2.07,0,0,0,0.76
 72-82,0,0,0,18.73,0,2.6,8.14,0,1.03,15.86,0,0,0,0
 84-94,0,0,0,19.26,0,0,7.27,0,0,2.71,0,0,0,2.69
 96-106,0,0,0,20.56,0,0,8.53,0,0,1.46,0,1.2,1.32,0
108-118,0,0,1.62,17.65,0,0.76,12.8,4.84,0.94,3.42,0,0,0,0
120,0,0,0,24.54,0,0,41.47,0,0,3.32,3.45,0,0,0
