stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,32.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,40.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.75,0,0,0,0,0,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.26,0,0,0,43.25,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.76,0.92,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,1.93,4.7,0,0,2.03,17.14,0,0,0,0,0,0,0,0,0.82,9.37,0,0,0,0,0
 24-34,0,0,0,0,0,0,4.42,0,0,0,1.46,0,0,0,0.66,0,0,0,0,8.15,7.91,0,1.52,1.83,30.85,4.58,0,0,0,0,5.65,0,0,0.71,4.55,0,0,0,0,10.53
 36-46,0,0,0,8.36,1.22,0,20.56,0,0,0,2.82,0,0.76,0,0,0,7.94,0,0,0,13.36,0,0,1.57,73.45,0,0.91,0,0,0,8.91,0,0,0,19.49,0,0,4.25,0,7.69
 48-58,0,0,0,4.1,0,0,46.88,0.94,1.69,0.85,6.58,0,2.45,0,0,0,1.81,0,0,0.4,10.07,0,0.4,0.41,52.33,0,0,3.51,0,0,16.1,0,0,0,1.55,0,0,0.41,0,24.12
 60-70,0,0,0.62,0.68,0,0,149.89,0,0.86,1.68,4.15,0,0,0,0,0,0,0.7,0,0,17.69,0,0,3.06,44.62,0,0,0,0,0,36.07,1.87,2.97,0,0,0,0,0.75,0,10.02
 72-82,0,0,0,2,0,0,411.2,1.52,3.25,1.34,21.08,0.49,0,3.02,1.38,0.61,0.83,0,0,1.45,38.98,0,8.34,6.92,70.91,0,0,0.66,0,0,24.63,0,4.49,0,3.88,1.21,0,2.1,0,1.79
 84-94,0,0,0,1.3,0,2.91,265.15,0,0.6,2.72,18.35,5.7,0,1.31,3.11,0,1.99,0,0,0,38.14,0,2.02,5.33,44.61,0,4.81,5.05,0,0,66.69,1.17,0,0,1.39,0,0,4.16,2.48,3.27
 96-106,0,0,0,13.65,6.91,0,241.58,1.34,2.28,0,30.81,4.52,0,0.89,0.69,0,1.9,2.95,12.58,0,33.74,0,7.55,2.33,60.07,2.48,2.07,0.57,0,0,71.15,0,0.71,0,2.95,0,11.65,6.28,5.25,0
108-118,0,0,0,11.35,3.41,4.74,235.9,1.94,2.42,0,19.4,0,0,0,2.94,1.13,8.75,0.41,0.75,0,41.08,0.53,4.24,6.56,88.69,0,0,0,0,5.54,64.76,0.84,0,0,0.96,0.51,0,12.85,3.54,9.18
120,0,0,0,9.89,0,7.18,205.68,2.98,1.05,3.32,37.43,0,0,0,6.46,0,4.7,0,0,0,8.01,0,11.08,1.26,119.64,0,0,3.63,0,0,32.4,0,0,0,0,0,6.25,1.54,4.69,0
