stage,eye,glial,neural,spinal_cord,xanthophores
 24-34,0,0,2,0,0
 36-46,0,0,8.32,4.43,0
 48-58,0,0,5.73,2.35,0
 60-70,3.12,0,7.68,2,0
 72-82,0.64,0.93,20.36,1.51,0
 84-94,0,0,10.76,0,0
 96-106,0,0,4.83,0,8.09
108-118,0,0,17.22,0,0
120,0,0,12.54,0,0
