stage,blastomeres,epidermis,eye,glial,gut,hatching_gland,immune,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,somites,spinal_cord
  5-6,13.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0
 14-21,0,0.83,0,0,0,5.67,0,0,0,0,0,0.98,0,0,0,0,1.95,1.8,0
 24-34,0,0,0,0,0,0,1.21,0,1.2,1.92,0,4.08,0.99,0,0.68,0,0,0,0.88
 36-46,0,0,0,0,0,0,0,0,0,0,0,21.82,0,0,0,0,0,0,0
 48-58,0,0,2.97,0,0,0,0,0,0,0,0,6.14,0,0.37,0,0,0,0,0
 60-70,0,2.22,3.28,0,0,0,0,0,0,0,0,6.08,0,0,0.62,0,0,0,2.56
 72-82,0,1.16,0.65,0,0,0,0,0,0,4.2,0.62,15.93,0,0,3.59,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.07,0,8.48,0.63,0,0,2.09,0,0,0
 96-106,0,0,0,1.99,0,0,0,0,0,0,0,5.54,0,0,0.76,4.62,0,0,3.78
108-118,0,3,0,2.92,0.5,0,0,0.98,0,3.01,3.01,13.98,0,0,1.23,0,0,0,0.96
120,0,9.62,0,0,0,0,1.01,0,0,7.63,0,16.31,0,0,0,1.06,0,0,0
