stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,75.8,2184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.42,0,0,0,0,0,0,0,0,0
  5-6,38.01,1564.42,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.75,0,0,0,6.56,403.22,0,0,0,0,0,0,0,0,0
  7-9,46.16,64.99,0,91.5,0,0,259.99,0,0,0,0,43.6,0,0,0,0,0,0,0,0,0,2846.03,24.04,0,0,456.45,106.89,0,0,0,0,0,0,0,0,0
 10-12,0,4.2,0,73.63,0,0,53.07,0,0,0,0,25.89,0,0,0,0,0,0,0,0,0,1003.78,14.06,0,0,87.97,17.5,5.62,4.36,21.72,0,0,0,0,0,0
 14-21,0,0,0,15.23,129.46,5.64,2.88,0,0,0,8.08,0,0,0,5.25,0,1.46,15.45,0.9,0,1.79,17.99,0.99,1.09,10.72,1.17,7.14,1.12,2.33,1.66,0.81,7.02,0,0,4.72,0
 24-34,0,0,1.47,7.85,53.52,0,3.31,4.5,0,0,6.06,0,1.33,0,6.38,1.88,0.65,3.68,4.87,0,4.5,19.22,0,2.99,2.1,0,11.09,0,0,4.2,0,1.45,0,0,4.52,0
 36-46,0,0,0.95,0,21.25,0.57,4.09,2.18,0,1.37,2.25,0,0,0,1.29,1.69,1.94,3.81,0,0.55,0,19.19,0,2.52,1.36,0,7.41,0,0,2.1,0,0,0,0,4.05,0
 48-58,0,0,0,0,27.94,0,2.92,4.36,0,0.86,0.97,0,0.45,0,2.73,1.61,7.04,1.04,2.27,0,0,15.16,0,1.68,2.37,0,6.58,0,0,0,0,0.94,0,0,2.35,0
 60-70,0,0,0.89,0,15.25,0,4.07,5.38,0,2.82,7.54,0,0,0.66,1.18,0.77,0,1.91,0.62,0,0,9.3,0,1.42,0,0,3.2,0,0,0,0,2.03,0.77,0,0,0
 72-82,0,0,2.73,0,22.62,0.55,4.18,3.42,0.54,0,4.91,2.59,0,0,2.83,0.81,0,1.72,4.75,0,0,15.11,0,5.43,0.56,0,1.99,0,0,0,0,0,3.21,1.35,0,1.08
 84-94,0,0,8.59,0,25.22,0,10.4,3.71,0,0,11.33,6.33,0,0,6.07,3.13,0,0.92,5.2,0,0,13.72,0,2.44,3.18,0,22.35,0,0,1.87,0,0,9.5,0,0.73,0
 96-106,0,0,2.08,0,36.52,9.43,0.92,4.07,0,6.56,6.47,0,0.82,0,8.44,4.74,0,2.57,1.5,0,0.71,18.19,0,2.47,5.29,0,14.7,0,0,1.05,0,0,2.49,0,1.15,0
108-118,0,0,1.03,0,58.63,0,3.34,14.73,0,1.05,15.64,0,0,0,3.92,1.1,2.21,1.32,5.28,0,0,21.88,0,3.07,3.91,0,8.92,0,0,1.84,0,0.42,6.93,0,6.31,0
120,0,0,1.37,0,60.51,0,5.06,4.6,0,0,5.15,0,0,0,0,3.53,3.16,0,1.65,0,0,29.35,0,6.87,0,0,7,0,0,1.38,0,0,3.68,0,0,0
