stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,mesenchyme,mucous,mural.cell,neural,olfactory,periderm,somites,spinal.cord,taste
  3-4,32.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26,0,0,0
  7-9,0,4.7,0,0,0,0,0,0,0,0,0,0,0,5.15,0,0,0,0,0
 10-12,0,15.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.34,0,0,1.76,0,0,2.05,1.84,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.75,0,0,2.06,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08,0.6,0.72,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39,0,6.66,0,0,0
 60-70,0,0,0,0,0,9.45,0,0.69,0,0,0,0,0,7.05,0,1.46,0,0,0
 72-82,0,0,0,0,0,0,0,0,4.82,1.22,0.61,0,0,8.97,0,4.06,0,0,0
 84-94,0,0,0,0,6.13,0,0,0,0.7,0,2.99,0,2.05,0,0,15.4,0,0,0
 96-106,0,0,2.7,0,7.55,0,0,0,1.03,0,1.77,2.61,0,2.14,1.52,18.65,0,4.33,0.99
108-118,0,0,1.64,1.91,7.92,0,0.63,0,2.23,0,0,0,0,6.58,0,10.65,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0,0
