stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,17.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,2.71,1.09,47.71,11.84,5.25,3.09,0,0,1.93,3.4,0,0.93,0,0,0,0,0,4.58,0,0,119.43,35.2,1.89,0,0,19.67,0,1.56,185.76,1.8,65.34,1915.98,8.3,0,0,0
 24-34,0,0.62,1.63,1.52,0,0,0,0,0,1.67,0,1.34,0,1.17,0,0,0,21.1,0,0,60.9,22.46,1.07,1.4,0,0,0,7.07,1.55,0,2.55,136.73,3.51,0,0,0.69
 36-46,0,0,0,3.33,0,2.44,0,0,0,0,0,24.49,0,0,0,0,0,16.91,0,0,10.25,9.1,0,0,0,0,0,0.65,0,0,0,2.22,1.71,0,0.85,0
 48-58,0,0,0,0,2.29,2.57,0,0.74,3.71,0,0,9.42,0,0,0,0,0,23.98,0,1.8,16.72,6.36,0,0,0,0,0.56,7.94,0,0,0,0,5.98,0,0.72,1.16
 60-70,0,0,0,4.95,4.94,5.73,0,0,5.87,0,0,18.51,0.99,0,2.56,0,0.72,10.31,0,0,4.92,18.46,0,0.81,0,0,0,2.44,0,0,0,0,1.45,0,3.22,0
 72-82,0,0,0,1.57,14.38,9.73,0,1.07,5.65,0,0,22.49,0,0,0,0,0,13.39,0,0,11.13,33.24,0,0,0,0,1.97,0,0,0.97,0,0,14.4,0,0,3.38
 84-94,0,0,0,2.2,29.34,26.2,0,0,6.66,4.68,2.11,23.19,0.69,0,0,0.64,0,28.07,0,3.42,13.73,64.67,0,0,0,0,0,0.86,0,0,0,0,0,1.21,8.31,0.88
 96-106,0,10.96,0,1.56,29.28,23.73,2.04,0,6.76,8.6,0,13.84,1.8,0,0,1.3,0,44.11,0.68,2.37,8.79,21.03,0,0,0,0,1.57,3.52,0,0,0,0,8.45,0,0,0
108-118,0,0.8,0,10.37,18.03,8.51,0,0,3.3,80.03,0,2.03,9.38,0.42,1.39,0,0,30.25,0,1.19,12.98,60.34,0,1.47,0,0,7.28,4.28,0,0,0,0,4.28,0,4.46,0
120,0,0,0,0,64.78,12.12,5.66,0,0,4.97,0,0,10.21,0,0,0,0,82.31,0,0,2.94,28.47,1.17,0,3.16,0,7.36,0,0,0,0,0,7.61,0,0,0
